Time,Node1,Node2,Node0,J0_Vmax,J0_Km1,J0_Keq,J0_Km2,J1_Vmax,J1_Km1,J1_Keq,J1_Km2,Node3,J2_Vmax,J2_Km1,J2_Keq,J2_Km2,J0,J1,J2
0,0,0,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.9615384615384616,0,0
0.10033444816053512,0.09060706344987618,0.004556328733404722,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.949517283408874,0.09792485628173468,0.019261073072112275
0.20066889632107024,0.1719391217390692,0.014164130764557345,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.9387975450104781,0.16526111590594245,0.05753937716500446
0.3010033444816054,0.24644319907708437,0.02549688789276805,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.9290360532799625,0.21506985231764567,0.0990182370801544
0.4013377926421405,0.31559857125439,0.03717274515661099,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.9200248098597574,0.2539137391138837,0.13809995932159852
0.5016722408026756,0.3803765246707089,0.04862425266223321,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.911626817222747,0.2853827821749123,0.1732717404178129
0.6020066889632107,0.4414582331592505,0.05962868221372035,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.903745708969044,0.3116024473242729,0.20446782449889964
0.7023411371237459,0.4993462291985804,0.07011287038771467,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.8963102040922264,0.33391775054673933,0.23207508603567847
0.8026755852842811,0.5544261365280285,0.08006907141829488,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.8892654858090423,0.35322758396480936,0.25657483791776
0.9030100334448162,0.6070032312797139,0.08951746775905864,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.8825680862170242,0.3701599828605322,0.2784217864832836
1.0033444816053514,0.6573250503351,0.09848938328468733,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.8761827126337509,0.3851696401531274,0.298010732767919
1.1036789297658864,0.7055964242696531,0.10701919043213057,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.8700801348967185,0.39859577878690894,0.31567295732055356
1.2040133779264215,0.7519899406063154,0.11514048448309358,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.8642357147940903,0.4106980484358318,0.3316826749681544
1.3043478260869565,0.7966526516786961,0.12288517579665709,10,1,0.4,1,1,1,0.8,1.5,1,0,1,0.232,1.6,1,0.8586284514667499,0.42167889923339996,0.34626742444454234
