Time,A,comp
0,5,5
0.10050251256281408,5.528643954635415,5
0.20100502512562815,6.113180754177558,5
0.30150753768844224,6.759513238116663,5
0.4020100502512563,7.4741838990396205,5
0.5025125628140704,8.264408073857306,5
0.6030150753768845,9.138175103259398,5
0.7035175879396985,10.1043257936784,5
0.8040201005025126,11.172629670174,5
0.9045226130653267,12.35388477264473,5
1.0050251256281408,13.660029388557856,5
1.105527638190955,15.104268178479794,5
1.206030150753769,16.701199817073043,5
1.306532663316583,18.4669649853341,5
1.407035175879397,20.41941417180627,5
1.5075376884422111,22.578287842330646,5
1.6080402010050252,24.965412569850088,5
1.7085427135678393,27.604920403890787,5
1.8090452261306533,30.523494113692312,5
1.9095477386934674,33.750638191003745,5
2.0100502512562817,37.318977071363996,5
2.1105527638190957,41.26458434471747,5
2.21105527638191,45.62734722685185,5
2.311557788944724,50.45137000148558,5
2.412060301507538,55.78542006956161,5
2.512562814070352,61.68342092607952,5
2.613065326633166,68.20499718666959,5
2.71356783919598,75.41607732165843,5
2.814070351758794,83.3895601836019,5
2.9145728643216082,92.20605199168305,5
3.0150753768844223,101.95468119651444,5
3.1155778894472363,112.73399948838728,5
3.2160804020100504,124.65297808085711,5
3.3165829145728645,137.83210933858427,5
3.4170854271356785,152.40462487362672,5
3.5175879396984926,168.51784242053503,5
3.6180904522613067,186.3346551107265,5
3.7185929648241207,206.0351782053056,5
3.819095477386935,227.81856993292604,5
3.919597989949749,251.90504483799526,5
4.020100502512563,278.5380999922247,5
4.120603015075377,307.98697657572825,5
4.2211055276381915,340.5493817130706,5
4.3216080402010055,376.5544980799356,5
4.42211055276382,416.3663117050458,5
4.522613065326634,460.38729160896435,5
4.623115577889448,509.0624584784371,5
4.723618090452262,562.8838835077538,5
4.824120603015076,622.3956628871728,5
4.92462311557789,688.199418226875,5
5.025125628140704,760.9603785217944,5
5.125628140703518,841.414105141667,5
5.226130653266332,930.3739278311547,5
5.326633165829146,1028.7391684930697,5
5.42713567839196,1137.5042284195238,5
5.527638190954774,1257.7686446751381,5
5.628140703517588,1390.7482047208384,5
5.728643216080402,1537.7872370513346,5
5.8291457286432165,1700.3722013972715,5
5.9296482412060305,1880.1467157727857,5
6.030150753768845,2078.9281722812048,5
6.130653266331659,2298.726109652829,5
6.231155778894473,2541.7625282480462,5
6.331658291457287,2810.494352895973,5
6.432160804020101,3107.6382706518934,5
6.532663316582915,3436.198194565505,5
6.633165829145729,3799.4956310990806,5
6.733668341708543,4201.203258188469,5
6.834170854271357,4645.382053397201,5
6.934673366834171,5136.522347502825,5
