Time,A,B,C,k1,k2,_J0,_J1
0,10,0,0,0.35,0.2,3.5,0
0.10050251256281408,9.654356012110487,0.3421731748894338,0.003470812986771287,0.35,0.2,3.37902460423867,0.06843463497788675
0.20100502512562815,9.320658994106683,0.6657101638356819,0.013630841942009721,0.35,0.2,3.262230647937339,0.1331420327671364
0.30150753768844224,8.998496003575351,0.9713906244887358,0.03011337284402529,0.35,0.2,3.1494736012513727,0.19427812489774718
0.4020100502512563,8.687468388944344,1.2599645303985898,0.05256708309561602,0.35,0.2,3.0406139361305202,0.25199290607971797
0.5025125628140704,8.387191252765227,1.53215334130045,0.08065540943567666,0.35,0.2,2.9355169384678295,0.30643066826009
0.6030150753768845,8.097292986332763,1.7886510268098068,0.11405599334274667,0.35,0.2,2.834052545216467,0.3577302053619614
0.7035175879396985,7.817414865963681,2.0301249389965546,0.15246020474388708,0.35,0.2,2.736095203087288,0.40602498779931095
0.8040201005025126,7.547210591143902,2.2572168314238663,0.19557259797043094,0.35,0.2,2.641523706900365,0.4514433662847733
0.9045226130653267,7.286345796764471,2.470543895073252,0.24311033734087797,0.35,0.2,2.550221028867565,0.49410877901465045
1.0050251256281408,7.034497677631344,2.6706995975960197,0.29480275695170477,0.35,0.2,2.46207418717097,0.5341399195192039
1.105527638190955,6.79135458671367,2.858254558379918,0.3503908894071316,0.35,0.2,2.376974105349784,0.5716509116759836
1.206030150753769,6.556615673978392,3.0337573220655907,0.4096270447726764,0.35,0.2,2.2948154858924372,0.6067514644131182
1.306532663316583,6.329990412601171,3.1977353841456084,0.47227425331876866,0.35,0.2,2.2154966444104094,0.6395470768291217
1.407035175879397,6.111198363579239,3.350695702776903,0.5381059973824109,0.35,0.2,2.138919427252733,0.6701391405553806
1.5075376884422111,5.899968690178065,3.4931257460392047,0.606905639806753,0.35,0.2,2.0649890415623227,0.698625149207841
1.6080402010050252,5.696040012518291,3.6254938079942214,0.6784662661133128,0.35,0.2,1.993614004381402,0.7250987615988443
1.7085427135678393,5.499159925038567,3.748250051330058,0.7525901160316371,0.35,0.2,1.9247059737634984,0.7496500102660116
1.8090452261306533,5.309084832207194,3.861826856297773,0.8290884050943614,0.35,0.2,1.858179691272518,0.7723653712595546
1.9095477386934674,5.125579528249723,3.966639734135155,0.907780830360088,0.35,0.2,1.793952834887403,0.7933279468270311
2.0100502512562817,4.948416969683364,4.063087802209147,0.9884953174368641,0.35,0.2,1.7319459393891772,0.8126175604418293
2.1105527638190957,4.777377929897875,4.151554540895754,1.0710676164118078,0.35,0.2,1.6720822754642561,0.8303109081791509
2.21105527638191,4.612250879313083,4.232408023609438,1.1553411805124578,0.35,0.2,1.614287807759579,0.8464816047218877
2.311557788944724,4.452831418868024,4.306002169053882,1.2411664920650878,0.35,0.2,1.558490996603808,0.8612004338107765
2.412060301507538,4.298922135407511,4.372677034124322,1.3284009087064454,0.35,0.2,1.5046227473926288,0.8745354068248645
2.512562814070352,4.150332995302844,4.432757912396142,1.4169091672413654,0.35,0.2,1.4526165483559954,0.8865515824792285
2.613065326633166,4.006879792879984,4.4865587732032655,1.5065615059564692,0.35,0.2,1.4024079275079944,0.8973117546406532
2.71356783919598,3.868384722744377,4.534380960385118,1.597234387462486,0.35,0.2,1.3539346529605318,0.9068761920770236
2.814070351758794,3.7346770481788325,4.576511681647361,1.6888113381318433,0.35,0.2,1.3071369668625914,0.9153023363294722
2.9145728643216082,3.605590840117823,4.613229022040438,1.7811802036073867,0.35,0.2,1.261956794041238,0.9226458044080877
3.0150753768844223,3.4809660910757714,4.644799440316986,1.8742345333535024,0.35,0.2,1.2183381318765198,0.9289598880633974
3.1155778894472363,3.3606491680822295,4.671476741452131,1.9678741537343853,0.35,0.2,1.1762272088287802,0.9342953482904263
3.2160804020100504,3.244490821357175,4.693506482369389,2.062002758500386,0.35,0.2,1.135571787475011,0.9387012964738779
3.3165829145728645,3.1323471652156023,4.711123769722801,2.156529126882437,0.35,0.2,1.0963215078254607,0.9422247539445602
3.4170854271356785,3.024079811708772,4.724552947314698,2.2513673024892804,0.35,0.2,1.0584279340980702,0.9449105894629396
3.5175879396984926,2.919554585376591,4.734010421289307,2.346435054766821,0.35,0.2,1.0218441048818068,0.9468020842578615
3.6180904522613067,2.818642067744315,4.739703435833138,2.4416545578776283,0.35,0.2,0.9865247237105103,0.9479406871666276
3.7185929648241207,2.721217650915133,4.741829941163636,2.536952469565297,0.35,0.2,0.9524261778202965,0.9483659882327272
3.819095477386935,2.627160629890532,4.740580572564774,2.632258859380763,0.35,0.2,0.9195062204616862,0.9481161145129549
3.919597989949749,2.536354526699178,4.736137921151737,2.727507614075363,0.35,0.2,0.8877240843447122,0.9472275842303475
4.020100502512563,2.4486872393925205,4.728676190252289,2.82263663236559,0.35,0.2,0.8570405337873821,0.9457352380504578
4.120603015075377,2.3640501065734068,4.718363234522373,2.9175867209361335,0.35,0.2,0.8274175373006923,0.9436726469044747
4.2211055276381915,2.2823382802131227,4.705359724340995,3.0123020574653148,0.35,0.2,0.7988183980745929,0.941071944868199
4.3216080402010055,2.2034509300480285,4.689818679708877,3.1067304521614556,0.35,0.2,0.7712078255168099,0.9379637359417754
4.42211055276382,2.1272902449057254,4.671887649269278,3.200822167631503,0.35,0.2,0.7445515857170039,0.9343775298538557
4.522613065326634,2.053761874571416,4.651707722431669,3.2945304647443425,0.35,0.2,0.7188166560999956,0.9303415444863339
4.623115577889448,1.982775088382415,4.629413166773875,3.387811806500736,0.35,0.2,0.6939712809338452,0.925882633354775
4.723618090452262,1.914241882241424,4.605133370129938,3.4806248092263656,0.35,0.2,0.6699846587844983,0.9210266740259876
4.824120603015076,1.5875139903746975,4.838019131316646,3.574466939893354,3,0.2,4.762541971124093,0.9676038262633292
4.92462311557789,1.1742918323791274,5.150633596838227,3.6750746323673433,3,0.2,3.522875497137382,1.0301267193676453
5.025125628140704,0.8686240191012434,5.350600700383795,3.7807753420996586,3,0.2,2.6058720573037304,1.070120140076759
5.125628140703518,0.6425213881168005,5.467857301970691,3.8896213714972085,3,0.2,1.9275641643504016,1.0935714603941382
5.226130653266332,0.4752731757923518,5.524543001850493,4.000183883941856,3,0.2,1.4258195273770553,1.1049086003700985
5.326633165829146,0.3515596547779507,5.537022294674875,4.111418112131877,3,0.2,1.054678964333852,1.107404458934975
5.42713567839196,0.26004875455457477,5.517388170673795,4.2225631363563325,3,0.2,0.7801462636637243,1.103477634134759
5.527638190954774,0.1923581275982176,5.474574167991189,4.333067765995296,3,0.2,0.5770743827946528,1.0949148335982377
5.628140703517588,0.14228770544650143,5.415176678129969,4.442535678008235,3,0.2,0.4268631163395043,1.0830353356259939
5.728643216080402,0.10525014071898336,5.344064906773102,4.550685014092617,3,0.2,0.3157504221569501,1.0688129813546206
5.8291457286432165,0.07785364833452184,5.264828221328437,4.6573181919217435,3,0.2,0.2335609450035655,1.0529656442656874
5.9296482412060305,0.0575883659508644,5.180111878145145,4.762299817488692,3,0.2,0.1727650978525932,1.036022375629029
6.030150753768845,0.04259817814018615,5.091861570275603,4.865540313168912,3,0.2,0.12779453442055844,1.0183723140551206
6.130653266331659,0.03150992210499651,5.0015063972693286,4.966983742210376,3,0.2,0.09452976631498952,1.0003012794538657
6.231155778894473,0.02330786051593201,4.910093341493923,5.066598859574846,3,0.2,0.06992358154779603,0.9820186682987846
6.331658291457287,0.01724094583061651,4.81838661121284,5.1643725045412445,3,0.2,0.05172283749184953,0.963677322242568
6.432160804020101,0.012753165082419594,4.726942254654943,5.26030464184734,3,0.2,0.03825949524725878,0.9453884509309886
6.532663316582915,0.00943356509205281,4.636161688487674,5.3544048080049755,3,0.2,0.02830069527615843,0.9272323376975349
6.633165829145729,0.006978035508555017,4.546332628835716,5.446689397240431,3,0.2,0.02093410652566505,0.9092665257671433
6.733668341708543,0.005161676374253555,4.457658682055844,5.537179703154604,3,0.2,0.015485029122760664,0.8915317364111689
6.834170854271357,0.00381810823554615,4.370281497380073,5.625900455969082,3,0.2,0.011454324706638451,0.8740562994760147
6.934673366834171,0.002824267119257384,4.284297043219208,5.712878751246238,3,0.2,0.008472801357772152,0.8568594086438417
7.035175879396985,0.002089119330230147,4.199767683951242,5.798143258303233,3,0.2,0.006267357990690441,0.8399535367902484
7.135678391959799,0.0015453283961346087,4.1167310939841935,5.881723639204376,3,0.2,0.004635985188403826,0.8233462187968388
7.236180904522613,0.0011430843538421027,4.035206855306573,5.963650121924291,3,0.2,0.003429253061526308,0.8070413710613146
7.336683417085427,0.0008455431644823172,3.955201330177683,6.043953188242541,3,0.2,0.0025366294934469516,0.7910402660355367
7.437185929648241,0.0006254510249111952,3.876711264557326,6.1226633460024695,3,0.2,0.0018763530747335857,0.7753422529114653
7.5376884422110555,0.00046264811454060125,3.799726449549703,6.199810963920463,3,0.2,0.0013879443436218037,0.7599452899099406
7.63819095477387,0.00034222231432940554,3.7242316867096488,6.275426152560729,3,0.2,0.0010266669429882167,0.7448463373419298
7.738693467336684,0.0002531429438868507,3.650208239299219,6.3495386793416015,3,0.2,0.0007594288316605522,0.7300416478598438
7.839195979899498,0.00018725064182100723,3.577634902213179,6.422177908729706,3,0.2,0.0005617519254630216,0.7155269804426359
7.939698492462312,0.0001385099114160045,3.5064887907229028,6.493372760950388,3,0.2,0.0004155297342480135,0.7012977581445806
8.040201005025127,0.00010245622336778501,3.436745921006944,6.563151684354395,3,0.2,0.00030736867010335505,0.6873491842013889
8.14070351758794,0.00007578719933467818,3.3683816365456254,6.631542637839747,3,0.2,0.00022736159800403456,0.6736763273091251
8.241206030150755,0.000056060036005349135,3.30137092091746,6.698573080631243,3,0.2,0.00016818010801604742,0.660274184183492
8.341708542713569,0.00004146778712711132,3.2356886263318,6.76426996746578,3,0.2,0.00012440336138133396,0.64713772526636
8.442211055276383,0.000030673857289966625,3.171309640013937,6.82865974771348,3,0.2,0.00009202157186989987,0.6342619280027875
8.542713567839197,0.00002268955037449196,3.108209004677784,6.891768367356548,3,0.2,0.00006806865112347587,0.6216418009355569
8.643216080402011,0.000016783533022656515,3.0463620050175875,6.953621273034096,3,0.2,0.000050350599067969545,0.6092724010035175
8.743718592964825,0.000012414834004044057,2.9857442291916,7.014243417559102,3,0.2,0.00003724450201213217,0.59714884583832
8.84422110552764,0.000009183292270957914,2.926331611815754,7.073659266476683,3,0.2,0.00002754987681287374,0.5852663223631508
8.944723618090453,0.000006792911091717889,2.8681004633305136,7.131892805343102,3,0.2,0.000020378733275153664,0.5736200926661027
9.045226130653267,0.000005024738166632857,2.811027489358008,7.1889675474885335,3,0.2,0.000015074214499898571,0.5622054978716017
9.145728643216081,0.0000037168148209752726,2.7550898026783837,7.244906542091504,3,0.2,0.000011150444462925818,0.5510179605356768
9.246231155778895,0.0000027493400591386028,2.7002649298079153,7.299732382436734,3,0.2,0.000008248020177415809,0.5400529859615831
9.34673366834171,0.000002033695618691251,2.646530813625646,7.353467214263445,3,0.2,0.000006101086856073753,0.5293061627251292
9.447236180904524,0.0000015043312022440995,2.5938658131175067,7.406132744136,3,0.2,0.000004512993606732299,0.5187731626235014
9.547738693467338,0.0000011127592559588835,2.5422487010381922,7.457750247787259,3,0.2,0.0000033382777678766505,0.5084497402076384
9.648241206030152,8.231193712407707e-7,2.4916586600668973,7.508340578398438,3,0.2,0.000002469358113722312,0.4983317320133795
9.748743718592966,6.088744174491453e-7,2.442075277917793,7.557924174792493,3,0.2,0.000001826623252347436,0.4884150555835587
9.84924623115578,4.503899752771187e-7,2.3934785416747966,7.6065210695199275,3,0.2,0.000001351169925831356,0.47869570833495934
9.949748743718594,3.331582177781769e-7,2.345848831604141,7.65415089682234,3,0.2,9.994746533345308e-7,0.4691697663208282
10.050251256281408,2.464395029562316e-7,1.8064056570871805,8.193594158058016,3,5,7.393185088686948e-7,9.032028285435903
10.150753768844222,1.8229183729369482e-7,1.0928894506429356,8.907110428649926,3,5,5.468755118810845e-7,5.464447253214678
10.251256281407036,1.3484164734740053e-7,0.6612053863856358,9.338794540357416,3,5,4.0452494204220157e-7,3.3060269319281788
10.35175879396985,9.974263011355783e-8,0.4000326446725462,9.59996731716952,3,5,2.992278903406735e-7,2.0001632233627307
10.452261306532664,7.377986171793034e-8,0.24202416164615814,9.757975826158678,3,5,2.2133958515379103e-7,1.2101208082307906
10.552763819095478,5.4575137988214584e-8,0.14642724921688494,9.853572757792675,3,5,1.6372541396464374e-7,0.7321362460844247
10.653266331658292,4.036935758100265e-8,0.08859003613147234,9.91140998508387,3,5,1.2110807274300796e-7,0.4429501806573617
10.753768844221106,2.986130843164769e-8,0.05359790496434279,9.946402126759045,3,5,8.958392529494308e-8,0.26798952482171395
10.85427135678392,2.208847987800995e-8,0.032427299039481466,9.967572740456731,3,5,6.626543963402986e-8,0.16213649519740733
10.954773869346734,1.6338900374046695e-8,0.019618860018629808,9.98038118522716,3,5,4.901670112214008e-8,0.09809430009314904
11.055276381909549,1.2085922921715556e-8,0.011869619023735706,9.988130430475033,3,5,3.625776876514667e-8,0.05934809511867853
11.155778894472363,8.939985524328162e-9,0.0071812461662741035,9.992818806478432,3,5,2.6819956572984487e-8,0.03590623083137052
11.256281407035177,6.6129282696591555e-9,0.004344731105662132,9.995655323866101,3,5,1.9838784808977465e-8,0.02172365552831066
11.35678391959799,4.891598558416693e-9,0.002628609257184553,9.99737144743591,3,5,1.4674795675250078e-8,0.013143046285922763
11.457286432160805,3.6183269320715502e-9,0.0015903371812348225,9.998409720785133,3,5,1.085498079621465e-8,0.007951685906174113
11.557788944723619,2.676484922282667e-9,0.0009621714198877043,9.999037887488322,3,5,8.029454766848002e-9,0.004810857099438522
11.658291457286433,1.9798021774547404e-9,0.0005821243494018741,9.999417935255494,3,5,5.939406532364221e-9,0.0029106217470093705
11.758793969849247,1.4644643161455525e-9,0.00035219174080894773,9.999647868379423,3,5,4.393392948436657e-9,0.0017609587040447387
11.859296482412061,1.0832676907007973e-9,0.00021307999430855354,9.99978698050712,3,5,3.249803072102392e-9,0.0010653999715427678
11.959798994974875,8.012956522093726e-10,0.00012891585012203796,9.999871144933282,3,5,2.403886956628118e-9,0.0006445792506101898
12.06030150753769,5.927202735509289e-10,0.00007799560240894237,9.999922065389569,3,5,1.7781608206527865e-9,0.0003899780120447118
