Time,comp,A
0,5,1
0.02512562814070352,5.075376884422113,1.0254465376462225
0.05025125628140704,5.150753768844224,1.0515384117896613
0.07537688442211056,5.226130653266334,1.0782937187861457
0.10050251256281408,5.301507537688445,1.1057302972488887
0.1256281407035176,5.376884422110555,1.133865105930831
0.15075376884422112,5.452261306532666,1.162716866339383
0.17587939698492464,5.527638190954776,1.1923024161679199
0.20100502512562815,5.603015075376886,1.2226413258202762
0.22613065326633167,5.678391959798997,1.2537510586514378
0.2512562814070352,5.753768844221107,1.2856519817805043
0.2763819095477387,5.829145728643217,1.3183644908449446
0.30150753768844224,5.904522613065328,1.3519094872786603
0.32663316582914576,5.979899497487438,1.3863086702604384
0.35175879396984927,6.055276381909549,1.4215829485540823
0.3768844221105528,6.1306532663316595,1.4577551733322458
0.4020100502512563,6.20603015075377,1.4948471466619364
0.4271356783919598,6.281407035175881,1.5328828592846742
0.45226130653266333,6.356783919597991,1.5718858538936953
0.47738693467336685,6.432160804020102,1.61188110046551
0.5025125628140704,6.507537688442212,1.6528938004551201
0.5276381909547739,6.582914572864323,1.6949499820369116
0.5527638190954774,6.658291457286433,1.738076249432909
0.577889447236181,6.733668341708543,1.7822998318059982
0.6030150753768845,6.809045226130654,1.827648892027825
0.628140703517588,6.884422110552765,1.8741520154621218
0.6532663316582915,6.959798994974875,1.9218381778971385
0.678391959798995,7.035175879396986,1.9707382236800324
0.7035175879396985,7.110552763819096,2.0208825918126374
0.7286432160804021,7.185929648241207,2.0723023266763585
0.7537688442211056,7.261306532663318,2.125031119044685
0.7788944723618091,7.336683417085428,2.179101451306492
0.8040201005025126,7.412060301507539,2.234546992897245
0.8291457286432161,7.487437185929649,2.291403971623505
0.8542713567839196,7.56281407035176,2.349707437649064
0.8793969849246231,7.638190954773871,2.409493883765221
0.9045226130653267,7.713567839195981,2.470802172145308
0.9296482412060302,7.788944723618092,2.533670186081771
0.9547738693467337,7.864321608040203,2.598137482372965
0.9798994974874372,7.9396984924623135,2.6642461830916373
1.0050251256281408,8.015075376884425,2.732037177506207
1.0301507537688444,8.090452261306535,2.8015527823667403
1.0552763819095479,8.165829145728646,2.872836192168722
1.0804020100502514,8.241206030150757,2.945933836161011
1.105527638190955,8.316582914572868,3.0208909351565563
1.1306532663316584,8.391959798994979,3.097754641144916
1.155778894472362,8.467336683417088,3.1765738420587333
1.1809045226130654,8.542713567839199,3.2573982871831464
1.206030150753769,8.61809045226131,3.3402792302507773
1.2311557788944725,8.69346733668342,3.425268785800028
1.256281407035176,8.76884422110553,3.51242082266221
1.2814070351758795,8.844221105527641,3.6017904819742332
1.306532663316583,8.919597989949752,3.693434169783268
