Time,Y,X,S,k1,k2,k3,k4,_J0,_J1,_J2,_J3
0,0,3,1,8,1,1,1.5,0,9,0,4.5
0.10033444816053512,0.44491640076970707,2.3219451132364695,1,8,1,1,1.5,3.5593312061576565,5.391429108882721,1.0330714625659798,3.482917669854704
0.20066889632107024,0.5409892754505928,2.181511224013669,1,8,1,1,1.5,4.327914203604743,4.758991220497616,1.1801741764664906,3.2722668360205036
0.3010033444816054,0.5653380495323677,2.156599213639277,1,8,1,1,1.5,4.522704396258941,4.650920168269548,1.2192075930618667,3.2348988204589153
0.4013377926421405,0.5740975108406365,2.1576791665957247,1,8,1,1,1.5,4.592780086725092,4.655579385961221,1.2387182387353046,3.236518749893587
0.5016722408026756,0.5795859277653331,2.16494440173205,1,8,1,1,1.5,4.636687422122665,4.686984262590944,1.2547713096382342,3.247416602598075
0.6020066889632107,0.5845623095087685,2.173994690948889,1,8,1,1,1.5,4.676498476070148,4.726252916273956,1.2708353574008842,3.2609920364233336
0.7023411371237459,0.5896574995713989,2.1838704498016344,1,8,1,1,1.5,4.717259996571191,4.769290141516793,1.2877355888178978,3.2758056747024513
0.8026755852842811,0.5950268935000792,2.194383718383494,1,8,1,1,1.5,4.760215148000634,4.815319903506571,1.3057173270968832,3.2915755775752413
0.9030100334448162,0.6007230817787789,2.2055165260161043,1,8,1,1,1.5,4.805784654230231,4.864303146530145,1.3249046844224204,3.308274789024156
1.0033444816053514,0.6067761965274128,2.2172914236345203,1,8,1,1,1.5,4.854209572219302,4.916381257323198,1.3453996566258064,3.32593713545178
1.1036789297658864,0.6132098203904145,2.22974611792021,1,8,1,1,1.5,4.905678563123316,4.9717677503802475,1.367302216486076,3.344619176880315
1.2040133779264215,0.6200494879085893,2.242920042658888,1,8,1,1,1.5,4.960395903268714,5.030690317760947,1.3907214238705545,3.3643800639883317
1.3043478260869565,0.6273248106520234,2.256851288031184,1,8,1,1,1.5,5.018598485216187,5.093377736288014,1.4157788069339377,3.385276932046776
1.4046822742474916,0.635065409598938,2.2715834486964153,1,8,1,1,1.5,5.080523276791504,5.1600913643915,1.442604073284557,3.407375173044623
1.5050167224080266,0.6433029245175328,2.2871627547485596,1,8,1,1,1.5,5.146423396140262,5.2311134667090196,1.4713384889773249,3.4307441321228396
1.6053511705685617,0.652071914867398,2.303636988267113,1,8,1,1,1.5,5.216575318939184,5.306743373712375,1.502136982098702,3.4554554824006694
1.7056856187290967,0.6614095184760966,2.3210569165069916,1,8,1,1,1.5,5.291276147808773,5.387305209664944,1.535169137502503,3.4815853747604875
1.8060200668896318,0.6713554979340056,2.339474805382221,1,8,1,1,1.5,5.370843983472045,5.47314236501818,1.5706192728714419,3.5092122080733317
1.9063545150501668,0.6819528023790971,2.3589474725637123,1,8,1,1,1.5,5.4556224190327764,5.564633178314726,1.6086908395799118,3.5384212088455684
2.006688963210702,0.6932469043846293,2.379531466412832,1,8,1,1,1.5,5.545975235077035,5.662169999648802,1.6496028229765134,3.569297199619248
2.107023411371237,0.7052872230630154,2.401288710717168,1,8,1,1,1.5,5.642297784504123,5.766187472217719,1.6935982465542798,3.601933066075752
2.207357859531772,0.7181261605914185,2.4242816268146687,1,8,1,1,1.5,5.745009284731348,5.877141406111177,1.7409400568567361,3.6364224402220033
2.307692307692307,0.731820646471752,2.44857608599737,1,8,1,1,1.5,5.854565171774016,5.995524848918201,1.7919185341898678,3.6728641289960553
2.408026755852842,0.746431694452972,2.474240268511384,1,8,1,1,1.5,5.971453555623776,6.121864906323284,1.8468513561087285,3.7113604027670757
2.508361204013377,0.7620243547600217,2.5013449326157864,1,8,1,1,1.5,6.096194838080174,6.256726471922673,1.9060857583087947,3.7520173989236794
2.608695652173912,0.778668292628484,2.5299636241571193,1,8,1,1,1.5,6.229346341027872,6.400715939558226,1.9700024556345956,3.794945436235679
2.7090301003344472,0.7964380315488832,2.5601714963918605,1,8,1,1,1.5,6.371504252391065,6.554478090937338,2.039017947013892,3.8402572445877907
