Time,X,Y,Z,A,k1,k2,k3,k4,k5,J0,J1,J2,J3,J4
0,2.5,2.5,2.5,1,3.2,1,1,1,1,8,6.25,2.5,2.5,2.5
0.10033444816053512,2.4258800913146357,2.499875700795128,2.49638666064549,1,3.2,1,1,1,1,7.762816292206835,6.064398693320124,2.4258800913146357,2.49638666064549,2.499875700795128
0.20066889632107024,2.3540539244745062,2.4990895263490196,2.486161424672117,1,3.2,1,1,1,1,7.53297255831842,5.882991507115045,2.3540539244745062,2.486161424672117,2.4990895263490196
0.3010033444816054,2.2846601184319475,2.4971228026089105,2.4701614623094525,1,3.2,1,1,1,1,7.310912378982232,5.70507687794759,2.2846601184319475,2.4701614623094525,2.4971228026089105
0.4013377926421405,2.2179193371258226,2.493569833555898,2.4491903566929234,1,3.2,1,1,1,1,7.097341878802633,5.530536752317245,2.2179193371258226,2.4491903566929234,2.493569833555898
0.5016722408026756,2.1540934750847636,2.488142269635029,2.4239896469984292,1,3.2,1,1,1,1,6.893099120271244,5.35969102810341,2.1540934750847636,2.4239896469984292,2.488142269635029
0.6020066889632107,2.0934578709888183,2.4806485189348098,2.3952549352111268,1,3.2,1,1,1,1,6.699065187164219,5.193133167120832,2.0934578709888183,2.3952549352111268,2.4806485189348098
0.7023411371237459,2.0362804776318617,2.4709821695320167,2.363640540424478,1,3.2,1,1,1,1,6.516097528421958,5.0316127523944685,2.0362804776318617,2.363640540424478,2.4709821695320167
0.8026755852842811,1.9828065098729024,2.4591061466393764,2.3297635724446186,1,3.2,1,1,1,1,6.344980831593288,4.875931676025024,1.9828065098729024,2.3297635724446186,2.4591061466393764
0.9030100334448162,1.9332515459793045,2.4450432170578966,2.2942043911126713,1,3.2,1,1,1,1,6.1864049471337745,4.726883579363391,1.9332515459793045,2.2942043911126713,2.4450432170578966
1.0033444816053514,1.8877980409317798,2.428868036085012,2.2575068604673727,1,3.2,1,1,1,1,6.040953730981696,4.585212320203105,1.8877980409317798,2.2575068604673727,2.428868036085012
1.1036789297658864,1.8465946923134373,2.410699114152243,2.2201786595673054,1,3.2,1,1,1,1,5.909103015403,4.451584188958237,1.8465946923134373,2.2201786595673054,2.410699114152243
1.2040133779264215,1.809756652246145,2.3906901098809406,2.182691576771001,1,3.2,1,1,1,1,5.791221287187664,4.3265673298161,1.809756652246145,2.182691576771001,2.3906901098809406
1.3043478260869565,1.7773688151150502,2.3690229284522633,2.1454818881999227,1,3.2,1,1,1,1,5.687580208368161,4.2106274753235855,1.7773688151150502,2.1454818881999227,2.3690229284522633
1.4046822742474916,1.7494902160398473,2.3459019749680183,2.108951028934806,1,3.2,1,1,1,1,5.5983686913275115,4.104132552995103,1.7494902160398473,2.108951028934806,2.3459019749680183
1.5050167224080266,1.7261585453480164,2.321548644182315,2.073466725484384,1,3.2,1,1,1,1,5.523707345113653,4.007361030596405,1.7261585453480164,2.073466725484384,2.321548644182315
1.6053511705685617,1.7073938850846464,2.296196835143656,2.039364287566594,1,3.2,1,1,1,1,5.463660432270869,3.9205124352749965,1.7073938850846464,2.039364287566594,2.296196835143656
1.7056856187290967,1.6932029731003118,2.270088297980465,2.0069484321590547,1,3.2,1,1,1,1,5.418249513920998,3.84372025534075,1.6932029731003118,2.0069484321590547,2.270088297980465
1.8060200668896318,1.6835801404433102,2.2434715789383954,1.9764940153126669,1,3.2,1,1,1,1,5.387456449418593,3.7770641959496785,1.6835801404433102,1.9764940153126669,2.2434715789383954
1.9063545150501668,1.6785136644448833,2.216594679715016,1.9482493239707692,1,3.2,1,1,1,1,5.371243726223627,3.7205844584374836,1.6785136644448833,1.9482493239707692,2.216594679715016
2.006688963210702,1.6779850678013846,2.1897044440571802,1.92243750817804,1,3.2,1,1,1,1,5.369552216964431,3.6742913600262805,1.6779850678013846,1.92243750817804,2.1897044440571802
2.107023411371237,1.6819716424619922,2.163043976002587,1.8992584113340492,1,3.2,1,1,1,1,5.382309255878376,3.6381786290345888,1.6819716424619922,1.8992584113340492,2.163043976002587
2.207357859531772,1.6904469610786814,2.1368507589154193,1.878890693566696,1,3.2,1,1,1,1,5.409430275451781,3.6122328716872447,1.6904469610786814,1.878890693566696,2.1368507589154193
