Time,S1,S2,k1,Km1,k2,Km2,_J0,_J1
0,10,0,0.1,0.1,0.4,0.1,0.09900990099009901,0
0.10033444816053512,9.991732628678825,0.008267371321169956,0.1,0.1,0.4,0.1,0.09900908987901821,0.030544276526840927
0.20066889632107024,9.985881454757509,0.014118545242485956,0.1,0.1,0.4,0.1,0.09900851501726872,0.04948729485636544
0.3010033444816054,9.981589503244006,0.018410496755986827,0.1,0.1,0.4,0.1,0.09900809292058735,0.0621921105319778
0.4013377926421405,9.978369130480289,0.021630869519705078,0.1,0.1,0.4,0.1,0.09900777597342048,0.07113611735284264
0.5016722408026756,9.975915498337011,0.024084501662982368,0.1,0.1,0.4,0.1,0.09900753435242184,0.07763903256313726
0.6020066889632107,9.974025706582356,0.02597429341763617,0.1,0.1,0.4,0.1,0.09900734817527158,0.08247490091180722
0.7023411371237459,9.97255867036473,0.027441329635261878,0.1,0.1,0.4,0.1,0.09900720359868226,0.08613007950811306
0.8026755852842811,9.971413086055907,0.02858691394408596,0.1,0.1,0.4,0.1,0.09900709067192913,0.08892635515466694
0.9030100334448162,9.970514541519623,0.02948545848036878,0.1,0.1,0.4,0.1,0.09900700207931074,0.09108500313906384
1.0033444816053514,9.969807366483527,0.030192633516464736,0.1,0.1,0.4,0.1,0.09900693234378206,0.09276295501817756
1.1036789297658864,9.96924935054225,0.030750649457743928,0.1,0.1,0.4,0.1,0.09900687731012825,0.09407417732997783
1.2040133779264215,9.96880814830143,0.03119185169856421,0.1,0.1,0.4,0.1,0.09900683379276753,0.09510301530077597
1.3043478260869565,9.968458720878056,0.03154127912193538,0.1,0.1,0.4,0.1,0.09900679932478008,0.09591294636171942
1.4046822742474916,9.968181632549506,0.03181836745048609,0.1,0.1,0.4,0.1,0.0990067719907167,0.09655215146686681
1.5050167224080266,9.967961701389708,0.032038298610284247,0.1,0.1,0.4,0.1,0.09900675029399252,0.09705759297867485
1.6053511705685617,9.967786999683362,0.03221300031662937,0.1,0.1,0.4,0.1,0.09900673305858433,0.09745789064459409
1.7056856187290967,9.967648138062529,0.032351861937462305,0.1,0.1,0.4,0.1,0.09900671935859645,0.09777531336204068
1.8060200668896318,9.967537717037429,0.03246228296256329,0.1,0.1,0.4,0.1,0.09900670846426761,0.09802724892409663
1.9063545150501668,9.967449885757597,0.03255011424239398,0.1,0.1,0.4,0.1,0.09900669979851134,0.09822734421147215
2.006688963210702,9.967379998636856,0.0326200013631354,0.1,0.1,0.4,0.1,0.09900669290308363,0.09838637016392864
2.107023411371237,9.967324363410947,0.03267563658904425,0.1,0.1,0.4,0.1,0.09900668741375372,0.09851284660575718
2.207357859531772,9.967280061028092,0.0327199389719005,0.1,0.1,0.4,0.1,0.09900668304255174,0.0986134840789159
2.307692307692307,9.967244782596095,0.032755217403896385,0.1,0.1,0.4,0.1,0.09900667956169223,0.09869357466905858
2.408026755852842,9.96721669132371,0.032783308676282506,0.1,0.1,0.4,0.1,0.0990066767899594,0.09875731822952592
2.508361204013377,9.967194320167946,0.032805679832045326,0.1,0.1,0.4,0.1,0.0990066745826127,0.09880806264772266
2.608695652173912,9.967176500280438,0.03282349971955538,0.1,0.1,0.4,0.1,0.09900667282432951,0.09884847120836053
2.7090301003344472,9.967162304273742,0.03283769572625141,0.1,0.1,0.4,0.1,0.09900667142360914,0.09888065446098225
2.8093645484949823,9.967150995957866,0.032849004042126935,0.1,0.1,0.4,0.1,0.09900667030781449,0.09890628621260988
2.9096989966555173,9.967141990055454,0.03285800994453932,0.1,0.1,0.4,0.1,0.09900666941919781,0.09892669612695743
3.0100334448160524,9.967134820690559,0.03286517930943449,0.1,0.1,0.4,0.1,0.09900666871179203,0.09894294195138546
