Time,A,k1,_J0
0,1,1,1
0.04020100502512563,1.0402010050251256,1,1
0.08040201005025126,1.0804020100502514,1,1
0.12060301507537688,1.120603015075377,1,1
0.16080402010050251,1.1608040201005025,1,1
0.20100502512562815,1.2010050251256281,1,1
0.2412060301507538,1.2412060301507537,1,1
0.2814070351758794,1.2814070351758793,1,1
0.32160804020100503,1.321608040201005,1,1
0.36180904522613067,1.3618090452261307,1,1
0.4020100502512563,1.4020100502512562,1,1
0.44221105527638194,1.442211055276382,1,1
0.4824120603015076,1.4824120603015076,1,1
0.5226130653266332,1.5226130653266332,1,1
0.5628140703517588,1.5628140703517588,1,1
0.6030150753768844,1.6030150753768844,1,1
0.64321608040201,1.64321608040201,1,1
0.6834170854271355,1.6834170854271355,1,1
0.7236180904522611,1.723618090452261,1,1
0.7638190954773867,1.7638190954773867,1,1
0.8040201005025123,1.8040201005025123,1,1
0.8442211055276378,1.8442211055276378,1,1
0.8844221105527634,1.8844221105527634,1,1
0.924623115577889,1.924623115577889,1,1
0.9648241206030146,1.9648241206030146,1,1
1.0050251256281402,2.00502512562814,1,1
1.0452261306532658,2.0452261306532655,1,1
1.0854271356783913,2.0854271356783913,1,1
1.125628140703517,2.125628140703517,1,1
1.1658291457286425,2.1658291457286425,1,1
1.206030150753768,2.206030150753768,1,1
1.2462311557788937,2.2462311557788937,1,1
1.2864321608040192,2.286432160804019,1,1
1.3266331658291448,2.326633165829145,1,1
1.3668341708542704,2.36683417085427,1,1
1.407035175879396,2.407035175879396,1,1
1.4472361809045216,2.4472361809045218,1,1
1.4874371859296471,2.487437185929647,1,1
1.5276381909547727,2.5276381909547725,1,1
1.5678391959798983,2.5678391959799,1,1
1.6080402010050239,2.608040201005025,1,1
1.6482412060301495,2.6482412060301517,1,1
1.688442211055275,2.6884422110552766,1,1
1.7286432160804006,2.7286432160804033,1,1
1.7688442211055262,2.768844221105528,1,1
1.8090452261306518,2.809045226130653,1,1
1.8492462311557774,2.84924623115578,1,1
1.889447236180903,2.8894472361809047,1,1
1.9296482412060285,2.9296482412060296,1,1
1.969849246231154,2.9698492462311563,1,1
2.01005025125628,3.0100502512562812,1,1
2.0502512562814057,3.050251256281408,1,1
2.0904522613065315,3.090452261306533,1,1
2.1306532663316573,3.1306532663316595,1,1
2.170854271356783,3.1708542713567844,1,1
2.211055276381909,3.211055276381911,1,1
2.2512562814070347,3.251256281407036,1,1
2.2914572864321605,3.2914572864321627,1,1
2.3316582914572863,3.3316582914572876,1,1
2.371859296482412,3.3718592964824143,1,1
2.412060301507538,3.4120603015075393,1,1
2.4522613065326637,3.452261306532666,1,1
2.4924623115577895,3.492462311557791,1,1
2.5326633165829153,3.5326633165829175,1,1
2.572864321608041,3.5728643216080425,1,1
2.613065326633167,3.613065326633169,1,1
2.6532663316582927,3.653266331658294,1,1
2.6934673366834185,3.6934673366834208,1,1
2.7336683417085443,3.7336683417085457,1,1
2.77386934673367,3.7738693467336724,1,1
2.814070351758796,3.8140703517587973,1,1
2.8542713567839217,3.854271356783924,1,1
2.8944723618090475,3.894472361809049,1,1
2.9346733668341733,3.9346733668341756,1,1
2.974874371859299,3.9748743718593005,1,1
3.015075376884425,4.015075376884427,1,1
3.0552763819095508,4.055276381909552,1,1
3.0954773869346766,4.095477386934679,1,1
3.1356783919598024,4.135678391959804,1,1
3.175879396984928,4.17587939698493,1,1
3.216080402010054,4.216080402010055,1,1
3.2562814070351798,4.256281407035182,1,1
3.2964824120603056,4.296482412060307,1,1
3.3366834170854314,4.336683417085434,1,1
3.376884422110557,4.3768844221105585,1,1
3.417085427135683,4.417085427135685,1,1
3.4572864321608088,4.45728643216081,1,1
3.4974874371859346,4.497487437185937,1,1
3.5376884422110604,4.537688442211062,1,1
3.577889447236186,4.577889447236188,1,1
3.618090452261312,4.618090452261313,1,1
3.658291457286438,4.65829145728644,1,1
3.6984924623115636,4.698492462311565,1,1
3.7386934673366894,4.738693467336692,1,1
3.778894472361815,4.7788944723618165,1,1
3.819095477386941,4.819095477386943,1,1
3.859296482412067,4.859296482412068,1,1
3.8994974874371926,4.899497487437195,1,1
3.9396984924623184,4.93969849246232,1,1
3.979899497487444,4.979899497487446,1,1
4.02010050251257,5.020100502512571,1,1
4.060301507537695,5.060301507537698,1,1
4.100502512562821,5.100502512562823,1,1
4.140703517587947,5.140703517587948,1,1
4.180904522613073,5.1809045226130745,1,1
4.221105527638199,5.221105527638201,1,1
4.261306532663324,5.261306532663326,1,1
4.30150753768845,5.301507537688451,1,1
4.341708542713576,5.341708542713578,1,1
4.381909547738702,5.3819095477387044,1,1
4.422110552763828,5.422110552763829,1,1
4.462311557788953,5.462311557788954,1,1
4.502512562814079,5.502512562814081,1,1
4.542713567839205,5.542713567839208,1,1
4.582914572864331,5.582914572864333,1,1
4.623115577889457,5.6231155778894575,1,1
4.663316582914582,5.663316582914584,1,1
4.703517587939708,5.703517587939711,1,1
4.743718592964834,5.743718592964836,1,1
4.78391959798996,5.783919597989961,1,1
4.824120603015086,5.824120603015087,1,1
4.864321608040211,5.864321608040214,1,1
4.904522613065337,5.904522613065339,1,1
4.944723618090463,5.944723618090464,1,1
4.984924623115589,5.984924623115591,1,1
5.025125628140715,6.025125628140717,1,1
5.06532663316584,6.065326633165842,1,1
5.105527638190966,6.105527638190967,1,1
5.145728643216092,6.145728643216094,1,1
5.185929648241218,6.1859296482412205,1,1
5.226130653266344,6.226130653266345,1,1
5.266331658291469,6.26633165829147,1,1
5.306532663316595,6.306532663316597,1,1
