Time,A,B,C,D,E
0,0,0,2,0,1
0.10101010101010101,0.5050505050505047,0,2,0,1
0.20202020202020202,1.01010101010101,0,2,0,1
0.30303030303030304,1.5151515151515154,0,2,0,1
0.40404040404040403,2.02020202020202,0,2,0,1
0.5050505050505051,2.525252525252525,0,2,0,1
0.6060606060606061,3.0303030303030303,0,2,0,1
0.7070707070707071,3.5353535353535293,0,2,0,1
0.8080808080808081,4.0404040404040344,0,2,0,1
0.9090909090909091,4.545454545454543,0,2,0,1
1.0101010101010102,5.050505050505048,0,2,0,1
1.1111111111111112,5.55555555555555,0,2,0,1
1.2121212121212122,6.060606060606055,0,2,0,1
1.3131313131313131,6.565656565656564,0,2,0,1
1.4141414141414141,7.070707070707069,0,2,0,1
1.5151515151515151,7.575757575757574,0,2,0,1
1.6161616161616161,8.080808080808076,0,2,0,1
1.7171717171717171,8.585858585858581,0,2,0,1
1.8181818181818181,9.090909090909086,0,2,0,1
1.9191919191919191,9.595959595959588,0,2,0,1
2.0202020202020203,10.101010101010099,3,0.5,6,55
2.1212121212121215,10.606060606060606,3,0.5,6,55
2.2222222222222228,11.111111111111112,3,0.5,6,55
2.323232323232324,11.616161616161618,3,0.5,6,55
2.424242424242425,12.121212121212123,3,0.5,6,55
2.5252525252525264,12.62626262626263,3,0.5,6,55
2.6262626262626276,13.131313131313137,3,0.5,6,55
2.727272727272729,13.636363636363642,3,0.5,6,55
2.82828282828283,14.141414141414149,3,0.5,6,55
2.9292929292929313,14.646464646464654,3,0.5,6,55
3.0303030303030325,15.151515151515161,3,0.5,6,55
3.1313131313131337,15.656565656565668,3,0.5,6,55
3.232323232323235,16.161616161616173,3,0.5,6,55
3.333333333333336,16.66666666666668,3,0.5,6,55
3.4343434343434374,17.171717171717184,3,0.5,6,55
3.5353535353535386,17.676767676767692,3,0.5,6,55
3.63636363636364,18.181818181818198,3,0.5,6,55
3.737373737373741,18.686868686868703,3,0.5,6,55
3.8383838383838422,19.191919191919208,3,0.5,6,55
3.9393939393939434,19.696969696969717,3,0.5,6,55
4.040404040404044,20.20202020202022,3,0.5,6,55
4.141414141414145,20.707070707070727,3,0.5,6,55
4.242424242424247,21.212121212121232,3,0.5,6,55
4.343434343434348,21.717171717171738,3,0.5,6,55
4.444444444444449,22.222222222222243,3,0.5,6,55
4.54545454545455,22.727272727272748,3,0.5,6,55
4.6464646464646515,23.232323232323253,3,0.5,6,55
4.747474747474753,23.737373737373773,3,0.5,6,55
4.848484848484854,24.242424242424278,3,0.5,6,55
4.949494949494955,24.747474747474783,3,0.5,6,55
5.050505050505056,25.252525252525288,3,0.5,6,55
5.151515151515158,25.75757575757578,3,0.5,6,55
5.252525252525259,26.262626262626313,3,0.5,6,55
5.35353535353536,26.767676767676804,3,0.5,6,55
5.454545454545461,27.27272727272731,3,0.5,6,55
5.5555555555555625,27.77777777777783,3,0.5,6,55
5.656565656565664,28.282828282828333,3,0.5,6,55
5.757575757575765,28.787878787878824,3,0.5,6,55
5.858585858585866,29.29292929292933,3,0.5,6,55
5.959595959595967,29.797979797979835,3,0.5,6,55
6.0606060606060685,30.303030303030354,3,0.5,6,55
6.16161616161617,30.808080808080845,3,0.5,6,55
6.262626262626271,31.31313131313135,3,0.5,6,55
6.363636363636372,31.81818181818187,3,0.5,6,55
6.464646464646473,32.323232323232375,3,0.5,6,55
6.565656565656575,32.82828282828288,3,0.5,6,55
6.666666666666676,33.33333333333337,3,0.5,6,55
6.767676767676777,33.838383838383876,3,0.5,6,55
6.868686868686878,34.343434343434396,3,0.5,6,55
6.9696969696969795,34.8484848484849,3,0.5,6,55
7.070707070707081,35.353535353535406,3,0.5,6,55
7.171717171717182,35.85858585858591,3,0.5,6,55
7.272727272727283,36.36363636363643,3,0.5,6,55
7.373737373737384,36.868686868686936,3,0.5,6,55
7.474747474747486,37.37373737373743,3,0.5,6,55
7.575757575757587,37.87878787878793,3,0.5,6,55
7.676767676767688,38.38383838383845,3,0.5,6,55
7.777777777777789,38.88888888888896,3,0.5,6,55
7.87878787878789,39.39393939393945,3,0.5,6,55
7.979797979797992,39.89898989898998,3,0.5,6,55
8.080808080808092,40.40404040404046,3,0.5,6,55
8.181818181818192,40.90909090909098,3,0.5,6,55
8.282828282828293,41.414141414141454,3,0.5,6,55
8.383838383838393,41.919191919191974,3,0.5,6,55
8.484848484848493,42.42424242424245,3,0.5,6,55
8.585858585858594,42.92929292929297,3,0.5,6,55
8.686868686868694,43.434343434343475,3,0.5,6,55
8.787878787878794,43.93939393939398,3,0.5,6,55
8.888888888888895,44.44444444444447,3,0.5,6,55
8.989898989898995,44.94949494949499,3,0.5,6,55
9.090909090909095,45.45454545454547,3,0.5,6,55
9.191919191919196,45.95959595959599,3,0.5,6,55
9.292929292929296,46.46464646464648,3,0.5,6,55
9.393939393939396,46.969696969697,3,0.5,6,55
9.494949494949497,47.474747474747474,3,0.5,6,55
9.595959595959597,47.97979797979799,3,0.5,6,55
9.696969696969697,48.484848484848484,3,0.5,6,55
9.797979797979798,48.98989898989899,3,0.5,6,55
9.898989898989898,49.494949494949495,3,0.5,6,55
9.999999999999998,50.000000000000014,3,0.5,6,55
