Time,E,S1,ES,S2,k1,k2,k3,J0,J1,J2
0,5,6,0,0,0.1,0.4,0.9,3,0,0
0.10033444816053512,4.727221578691094,5.714666384576517,0.27277842130890795,0.012555195640726557,0.1,0.4,0.9,2.701449424819073,0.005022078256290623,0.24550057917801715
0.20066889632107024,4.503847285922967,5.457361073926673,0.4961527140770371,0.04648622025816396,0.1,0.4,0.9,2.4579120861106296,0.018594488103265583,0.4465374426693334
0.3010033444816054,4.320953483276694,5.223961723274502,0.6790465167233102,0.09699181090190362,0.1,0.4,0.9,2.2572495604687077,0.03879672436076145,0.6111418650509792
0.4013377926421405,4.171395604640295,5.011228513101561,0.8286043953597101,0.1601671999920738,0.1,0.4,0.9,2.0903816593399975,0.06406687999682951,0.7457439558237391
0.5016722408026756,4.049400922707891,4.816572567623193,0.9505990772921138,0.23282845736949595,0.1,0.4,0.9,1.9504233399622872,0.09313138294779838,0.8555391695629024
0.6020066889632107,3.950277327569964,4.637897839009228,1.0497226724300412,0.3123794437727432,0.1,0.4,0.9,1.8320982681023885,0.12495177750909728,0.9447504051870371
0.7023411371237459,3.8701834902021495,4.473481014654726,1.1298165097978556,0.3967021911030922,0.1,0.4,0.9,1.7313192366649481,0.15868087644123688,1.01683485881807
0.8026755852842811,3.805953187700112,4.321883275983024,1.194046812299893,0.4840694989086649,0.1,0.4,0.9,1.6448885431095392,0.19362779956346599,1.0746421310699037
0.9030100334448162,3.754965486397837,4.18188810817135,1.245034513602168,0.5730769732938447,0.1,0.4,0.9,1.5702845514160964,0.22923078931753788,1.1205310622419513
1.0033444816053514,3.7150440283779194,4.052455640811438,1.284955971622085,0.6625880116890493,0.1,0.4,0.9,1.5055051128662948,0.26503520467561975,1.1564603744598767
1.1036789297658864,3.684372527421136,3.9326851825099522,1.3156274725788688,0.7516869592574993,0.1,0.4,0.9,1.4489477245435844,0.3006747837029997,1.184064725320982
1.2040133779264215,3.6614286336923847,3.821787131427068,1.3385713663076193,0.8396411016325943,0.1,0.4,0.9,1.399320083488415,0.33585644065303777,1.2047142296768574
1.3043478260869565,3.6449327019394118,3.7190623377878227,1.3550672980605925,0.9258699670886992,0.1,0.4,0.9,1.3555731935554074,0.3703479868354797,1.2195605682545332
1.4046822742474916,3.6338069430644455,3.6238864764682543,1.3661930569355587,1.009920076311107,0.1,0.4,0.9,1.3168503839067693,0.4039680305244428,1.2295737512420029
1.5050167224080266,3.6271413202883527,3.535697336308132,1.3728586797116515,1.0914435930724753,0.1,0.4,0.9,1.282447390455669,0.4365774372289901,1.2355728117404865
1.6053511705685617,3.624165605806415,3.45398477961969,1.3758343941935895,1.1701804320035738,0.1,0.4,0.9,1.2517812841276532,0.46807217280142954,1.2382509547742306
1.7056856187290967,3.624226914148475,3.3782830749073742,1.3757730858515291,1.2459434451187665,0.1,0.4,0.9,1.2243664443691575,0.49837737804750665,1.2381957772663763
1.8060200668896318,3.626771487869426,3.308164951262232,1.3732285121305783,1.3186061438564392,0.1,0.4,0.9,1.1997958322406814,0.5274424575425757,1.2359056609175205
