Time,B,comp,A,_J0
0,1,5,0,1
0.10050251256281408,1.0203054836329892,5,0.10237072444966802,1.0203054836329892
0.20100502512562815,1.0410220119741616,5,0.2078444397078288,1.0410220119741616
0.30150753768844224,1.0621589778629479,5,0.3154188108629669,1.0621589778629479
0.4020100502512563,1.0837249432110452,5,0.4240279024782949,1.0837249432110452
0.5025125628140704,1.105728790927083,5,0.532551056595973,1.105728790927083
0.6030150753768845,1.1281796693122164,5,0.6398226768707739,1.1281796693122164
0.7035175879396985,1.1510864291186806,5,0.7446425255680204,1.1510864291186806
0.8040201005025126,1.1744583970684215,5,0.8457875273233985,1.1744583970684215
0.9045226130653267,1.1983053359212084,5,0.9420240017961701,1.1983053359212084
1.0050251256281408,1.2226361508355295,5,1.0321194057036713,1.2226361508355295
1.105527638190955,1.2474608322854464,5,1.1148570522138552,1.2474608322854464
1.206030150753769,1.272789379975759,5,1.1890490014887547,1.272789379975759
1.306532663316583,1.298632270046711,5,1.2535503710336469,1.298632270046711
1.407035175879397,1.3249997483470517,5,1.3072726856195376,1.3249997483470517
1.5075376884422111,1.3519026476233535,5,1.3491986253023693,1.3519026476233535
1.6080402010050252,1.3793518502653654,5,1.3783953071135258,1.3793518502653654
1.7085427135678393,1.4073585582908044,5,1.394027998376475,1.4073585582908044
1.8090452261306533,1.4359336760241639,5,1.395372464941918,1.4359336760241639
1.9095477386934674,1.4650892961927888,5,1.3818287382255539,1.4650892961927888
2.0100502512562817,1.4948367798080255,5,1.3529307200617378,1.4948367798080255
2.1105527638190957,1.5251880235818607,5,1.308357960629861,1.5251880235818607
2.21105527638191,1.5561556142205144,5,1.2479451255574967,1.5561556142205144
2.311557788944724,1.5877518153952268,5,1.1716892320997159,1.5877518153952268
2.412060301507538,1.6199894482479238,5,1.0797571212329917,1.6199894482479238
2.512562814070352,1.6528816147716534,5,0.9724903598437228,1.6528816147716534
2.613065326633166,1.6864415575216491,5,0.850408663788152,1.6864415575216491
2.71356783919598,1.7206828912846492,5,0.7142117875193824,1.7206828912846492
2.814070351758794,1.7556194472727182,5,0.5647793154458983,1.7556194472727182
2.9145728643216082,1.7912653460028456,5,0.4031686615238385,1.7912653460028456
3.0150753768844223,1.8276350206520966,5,0.2306110375434563,1.8276350206520966
3.1155778894472363,1.8647431355087805,5,0.04850538127676484,1.8647431355087805
3.2160804020100504,1.9026047568967468,5,-0.1415897263483775,1.9026047568967468
3.3165829145728645,1.9412352338608536,5,-0.33796623421557,1.9412352338608536
3.4170854271356785,1.9806500877220485,5,-0.5387787376742402,1.9806500877220485
3.5175879396984926,2.0208651587359276,5,-0.7420585919987653,2.0208651587359276
3.6180904522613067,2.0618967971828397,5,-0.945730028994021,2.0618967971828397
3.7185929648241207,2.1037617908951125,5,-1.1476280328095436,2.1037617908951125
3.819095477386935,2.146476802789523,5,-1.345517544415345,2.146476802789523
3.919597989949749,2.190058971482295,5,-1.537114762770972,2.190058971482295
4.020100502512563,2.2345259340350183,5,-1.7201096753848304,2.2345259340350183
4.120603015075377,2.2798960864465743,5,-1.8921899828681767,2.2798960864465743
4.2211055276381915,2.3261874009310732,5,-2.0510648111669894,2.3261874009310732
4.3216080402010055,2.3734184678737966,5,-2.1944908960396527,2.3734184678737966
4.42211055276382,2.4216083057079505,5,-2.320298436710369,2.4216083057079505
4.522613065326634,2.4707769545292284,5,-2.426417936813762,2.4707769545292284
4.623115577889448,2.520943891323891,5,-2.510904927130096,2.520943891323891
4.723618090452262,2.572129288030384,5,-2.5719671260971966,2.572129288030384
4.824120603015076,2.624353682689531,5,-2.6079895601129586,2.624353682689531
4.92462311557789,2.677638837168738,5,-2.617559976230869,2.677638837168738
5.025125628140704,2.7320058777119294,5,-2.5994903882283107,2.7320058777119294
5.125628140703518,2.787476679280294,5,-2.5528404235876967,2.787476679280294
5.226130653266332,2.8440735125279177,5,-2.4769371909068925,2.8440735125279177
5.326633165829146,2.9018197498561245,5,-2.3713940494068666,2.9018197498561245
5.42713567839196,2.960738566831633,5,-2.2361252965620655,2.960738566831633
5.527638190954774,3.0208536356963296,5,-2.071360112964957,3.0208536356963296
5.628140703517588,3.0821891540824002,5,-1.877653036820393,3.0821891540824002
5.728643216080402,3.144769769875171,5,-1.6558913152373969,3.144769769875171
5.8291457286432165,3.208621289793725,5,-1.4072993792207624,3.208621289793725
5.9296482412060305,3.273769277344445,5,-1.1334387644546577,3.273769277344445
6.030150753768845,3.34023996341492,5,-0.8362058004678798,3.34023996341492
6.130653266331659,3.408060142497805,5,-0.5178249505575806,3.408060142497805
6.231155778894473,3.4772571303976276,5,-0.18083843200795963,3.4772571303976276
6.331658291457287,3.5478592541375704,5,0.17190798735347113,3.5478592541375704
6.432160804020101,3.6198948510886124,5,0.5372830928442428,3.6198948510886124
6.532663316582915,3.693392997067037,5,0.9118919439923168,3.693392997067037
6.633165829145729,3.768383366301523,5,1.292101443097715,3.768383366301523
6.733668341708543,3.8448962275598717,5,1.6740694722946867,3.8448962275598717
6.834170854271357,3.9229626709633427,5,2.0537775765844413,3.9229626709633427
6.934673366834171,4.002614146429098,5,2.4270665626698653,4.002614146429098
7.035175879396985,4.083882834361415,5,2.789675404036053,4.083882834361415
