Time,S1,X0,k1,J0,J1
0,0,0.1,3.2,3.2,0
0.10033444816053512,0.2747153260807244,0.1,3.2,3.2035381300795054,0.8790890434583182
0.20066889632107024,0.474864461377177,0.1,3.2,3.220373259976612,1.5195662764069666
0.3010033444816054,0.6220362254920928,0.1,3.2,3.2482760657656935,1.990515921574697
0.4013377926421405,0.7314444087526888,0.1,3.2,3.280964900654363,2.340622108008604
0.5016722408026756,0.8136374864187778,0.1,3.2,3.3136813121863375,2.603639956540089
0.6020066889632107,0.8759582177280604,0.1,3.2,3.3437798954445808,2.8030662967297935
0.7023411371237459,0.9235822138850583,0.1,3.2,3.3701309601758243,2.955463084432187
0.8026755852842811,0.9602081449584405,0.1,3.2,3.392492913643513,3.07266606386701
0.9030100334448162,0.9885218472636772,0.1,3.2,3.411084036244216,3.163269911243767
1.0033444816053514,1.0105005225707768,0.1,3.2,3.4263248511961533,3.233601672226486
1.1036789297658864,1.0276177692657222,0.1,3.2,3.4386963434553537,3.2883768616503115
1.2040133779264215,1.0409842512761398,0.1,3.2,3.4486680094666684,3.3311496040836475
1.3043478260869565,1.0514438360732554,0.1,3.2,3.4566639308979035,3.3646202754344174
1.4046822742474916,1.0596419823664023,0.1,3.2,3.463050699168867,3.3908543435724874
1.5050167224080266,1.0660760972192374,0.1,3.2,3.4681374266979637,3.4114435111015595
1.6053511705685617,1.0711309327183274,0.1,3.2,3.4721797921582254,3.427618984698648
1.7056856187290967,1.0751051189255414,0.1,3.2,3.4753865702784226,3.4403363805617326
1.8060200668896318,1.0782317046689418,0.1,3.2,3.477927187796251,3.450341454940614
1.9063545150501668,1.0806930743369918,0.1,3.2,3.4799383022850185,3.458217837878374
2.006688963210702,1.0826316163008294,0.1,3.2,3.4815290928116207,3.464421172162654
2.107023411371237,1.0841587013575704,0.1,3.2,3.4827865034587218,3.4693078443442253
2.207357859531772,1.0853619035046735,0.1,3.2,3.483779879254253,3.4731580912149553
2.307692307692307,1.0863101687289376,0.1,3.2,3.4845644255584936,3.4761925399326006
2.408026755852842,1.087057658580447,0.1,3.2,3.485183886001409,3.4785845074574304
2.508361204013377,1.087646924345346,0.1,3.2,3.485672860538111,3.480470157905107
2.608695652173912,1.0881113521792458,0.1,3.2,3.486058640569588,3.4819563269735867
2.7090301003344472,1.0884773654020332,0.1,3.2,3.4863629181713547,3.4831275692865065
2.8093645484949823,1.0887659096302353,0.1,3.2,3.4866029466161663,3.4840509108167534
2.9096989966555173,1.0889934854387733,0.1,3.2,3.486792353104033,3.484779153404075
3.0100334448160524,1.0891730470315377,0.1,3.2,3.486941857677233,3.485353750500921
3.1103678929765874,1.08931482026416,0.1,3.2,3.4870599362815855,3.485807424845312
3.2107023411371225,1.0894266607918097,0.1,3.2,3.4871531078598865,3.486165314533791
3.3110367892976575,1.0895148432492316,0.1,3.2,3.48722658479625,3.4864474983975415
3.4113712374581926,1.0895843447091813,0.1,3.2,3.4872845049164978,3.48666990306938
3.5117056856187276,1.089639155512687,0.1,3.2,3.4873301878794485,3.4868452976405986
3.6120401337792627,1.0896824224785178,0.1,3.2,3.4873662528853684,3.486983751931257
3.7123745819397977,1.0897165717940551,0.1,3.2,3.4873947200559896,3.4870930297409766
3.812709030100333,1.089743515615498,0.1,3.2,3.4874171819991346,3.4871792499695937
3.913043478260868,1.0897647265644095,0.1,3.2,3.487434865513913,3.4872471250061103
4.013377926421403,1.0897814311265739,0.1,3.2,3.4874487925794457,3.4873005796050367
4.113712374581938,1.0897945147691914,0.1,3.2,3.4874597010983566,3.4873424472614127
4.214046822742474,1.0898047712040027,0.1,3.2,3.48746825262017,3.4873752678528085
4.314381270903009,1.0898128764920025,0.1,3.2,3.487475010698133,3.4874012047744083
4.414715719063545,1.0898192061467784,0.1,3.2,3.4874802883516285,3.487421459669691
4.51505016722408,1.0898243338973195,0.1,3.2,3.487484563907464,3.4874378684714227
