Time,A,B,C,A2,B2,C2,k1,k2,k12,k22,_J0,_J1,_J2,_J3
0,10,0,0,10,0,0,0.35,0.2,5,0.2,3.5,0,50,0
0.10050251256281408,9.654356010954364,0.3421731770926216,0.003470811952191554,6.050083100935641,3.9072068580809627,0.04271006863258785,0.35,0.2,5,0.2,3.3790246038340275,0.06843463541852433,30.250415504678205,0.7814413716161925
0.20100502512562815,9.320658998581333,0.6657101546046654,0.013630846814049078,3.6603469790869805,6.193350525790695,0.14630263574080585,0.35,0.2,5,0.2,3.2622306495034663,0.1331420309209331,18.3017348954349,1.238670105158139
0.30150753768844224,8.998496022876523,0.971390583180983,0.030113393943147732,2.214548782057996,7.500268472791102,0.28518300259818063,0.35,0.2,5,0.2,3.149473608006783,0.19427811663619662,11.07274391028998,1.5000536945582206
0.4020100502512563,8.687468416783792,1.2599644690085225,0.05256711420838496,1.33982920969453,8.216275238369924,0.4438958212270843,0.35,0.2,5,0.2,3.0406139458743273,0.25199289380170453,6.69914604847265,1.643255047673985
0.5025125628140704,8.387191292939788,1.5321532519447971,0.08065545511615049,0.8106132058464934,8.576266089728298,0.6131209808364209,0.35,0.2,5,0.2,2.9355169525289253,0.30643065038895945,4.053066029232467,1.7152532179456597
0.6030150753768845,8.097293067386628,1.7886508454890524,0.11405608712505803,0.4904306715908399,8.722320094520924,0.7872495111132458,0.35,0.2,5,0.2,2.83405257358532,0.3577301690978105,2.4521533579541996,1.744464018904185
0.7035175879396985,7.81741499974374,2.0301246397681187,0.15246036048887648,0.2967163976900408,8.740366938021493,0.9629169409234696,0.35,0.2,5,0.2,2.7360952499103086,0.40602492795362377,1.4835819884502042,1.7480733876042986
0.8040201005025126,7.547210749276193,2.2572164688223446,0.19557278190219649,0.17951702213247875,8.682367135791322,1.1381161186917985,0.35,0.2,5,0.2,2.6415237622466674,0.45144329376446896,0.8975851106623938,1.7364734271582645
0.9045226130653267,7.286345946307801,2.4705435434514387,0.24311051024149516,0.10860994645049005,8.579729799519384,1.3116605306941864,0.35,0.2,5,0.2,2.55022108120773,0.4941087086902878,0.5430497322524502,1.7159459599038769
1.0050251256281408,7.034497778449904,2.6706993508276224,0.2948028707232087,0.06571032274409927,8.451430332371176,1.4828596215487186,0.35,0.2,5,0.2,2.462074222457466,0.5341398701655246,0.32855161372049635,1.6902860664742354
