Time,A,e1,J,J2
0,0,0,10,20
0.033444816053511704,0.10033444816053512,0,10,20
0.06688963210702341,0.2006688963210701,0,10,20
0.1003344481605351,0.30100334448160526,0,10,20
0.13377926421404682,0.4013377926421403,0,10,20
0.16722408026755853,0.5016722408026755,0,10,20
0.20066889632107024,0.6020066889632107,0,10,20
0.23411371237458195,0.7023411371237458,0,10,20
0.26755852842809363,0.8026755852842808,0,10,20
0.3010033444816053,0.9030100334448159,0,10,20
0.334448160535117,1.003344481605351,0,10,20
0.3678929765886287,1.103678929765886,0,10,20
0.40133779264214037,1.204013377926421,0,10,20
0.43478260869565205,1.3043478260869552,0,10,20
0.46822742474916373,1.4046822742474916,0,10,20
0.5016722408026755,1.505016722408028,0,10,20
0.5351170568561872,1.6053511705685608,0,10,20
0.5685618729096988,1.7056856187290972,0,10,20
0.6020066889632105,1.80602006688963,0,10,20
0.6354515050167222,1.9063545150501664,0,10,20
0.6688963210702339,2.006688963210701,0,10,20
0.7023411371237456,2.1070234113712374,0,10,20
0.7357859531772573,2.20735785953177,0,10,20
0.7692307692307689,2.3076923076923084,0,10,20
0.8026755852842806,2.408026755852841,0,10,20
0.8361204013377923,2.5083612040133776,0,10,20
0.869565217391304,2.608695652173912,0,10,20
0.9030100334448157,2.709030100334447,0,10,20
0.9364548494983274,2.8093645484949814,0,10,20
0.969899665551839,2.909698996655518,0,10,20
1.0033444816053507,3.0100334448160506,0,10,20
1.0367892976588624,3.110367892976587,0,10,20
1.070234113712374,3.2107023411371216,0,10,20
1.1036789297658858,3.311036789297658,0,10,20
1.1371237458193975,3.4113712374581926,0,10,20
1.1705685618729091,3.511705685618729,0,10,20
1.2040133779264208,3.612040133779262,0,10,20
1.2374581939799325,3.712374581939798,0,10,20
1.2709030100334442,3.812709030100331,0,10,20
1.3043478260869559,3.9130434782608674,0,10,20
1.3377926421404676,4.013377926421402,0,10,20
1.3712374581939792,4.113712374581939,0,10,20
1.404682274247491,4.214046822742472,0,10,20
1.4381270903010026,4.3143812709030085,0,10,20
1.4715719063545143,4.414715719063541,0,10,20
1.505016722408026,4.515050167224079,0,10,20
1.5384615384615377,4.615384615384612,0,10,20
1.5719063545150493,4.715719063545148,0,10,20
1.605351170568561,4.816053511705682,0,10,20
1.6387959866220727,4.916387959866219,0,10,20
1.6722408026755844,5.016722408026752,30,5,5
1.705685618729096,5.117056856187287,30,5,5
1.7391304347826078,5.217391304347822,30,5,5
1.7725752508361194,5.317725752508356,30,5,5
1.8060200668896311,5.418060200668892,30,5,5
1.8394648829431428,5.518394648829426,30,5,5
1.8729096989966545,5.618729096989961,30,5,5
1.9063545150501662,5.7190635451504965,30,5,5
1.9397993311036779,5.819397993311032,30,5,5
1.9732441471571895,5.919732441471567,30,5,5
2.0066889632107014,6.020066889632103,30,5,5
2.040133779264213,6.120401337792638,30,5,5
2.073578595317725,6.220735785953172,30,5,5
2.1070234113712365,6.321070234113708,30,5,5
2.140468227424748,6.421404682274242,30,5,5
2.17391304347826,6.521739130434778,30,5,5
2.2073578595317715,6.622073578595312,30,5,5
2.2408026755852832,6.722408026755848,30,5,5
2.274247491638795,6.8227424749163825,30,5,5
2.3076923076923066,6.923076923076918,30,5,5
2.3411371237458183,7.023411371237453,30,5,5
2.37458193979933,7.123745819397988,30,5,5
2.4080267558528416,7.224080267558523,30,5,5
2.4414715719063533,7.324414715719058,30,5,5
2.474916387959865,7.424749163879593,30,5,5
2.5083612040133767,7.525083612040128,30,5,5
2.5418060200668884,7.625418060200663,30,5,5
2.5752508361204,7.7257525083612,30,5,5
2.6086956521739117,7.826086956521735,30,5,5
2.6421404682274234,7.926421404682269,30,5,5
2.675585284280935,8.026755852842804,30,5,5
2.709030100334447,8.127090301003339,30,5,5
2.7424749163879585,8.227424749163877,30,5,5
2.77591973244147,8.327759197324411,30,5,5
2.809364548494982,8.428093645484946,30,5,5
2.8428093645484935,8.52842809364548,30,5,5
2.876254180602005,8.628762541806019,30,5,5
2.909698996655517,8.72909698996655,30,5,5
2.9431438127090286,8.829431438127084,30,5,5
2.9765886287625403,8.929765886287619,30,5,5
3.010033444816052,9.030100334448157,30,5,5
3.0434782608695636,9.130434782608692,30,5,5
3.0769230769230753,9.230769230769223,30,5,5
3.110367892976587,9.331103678929761,30,5,5
3.1438127090300987,9.4314381270903,30,5,5
