Time,A,B,C,k3,k1,k2,_J0,_J1
0,10,0,0,1,0.35,0.2,3.5,0
0.10050251256281408,9.65435601119493,0.34217317660988616,0.0034708121766098025,1,0.35,0.2,3.379024603918225,0.06843463532197723
0.20100502512562815,9.320659001135526,0.6657101497820794,0.013630848955225176,1,0.35,0.2,3.262230650397434,0.13314202995641589
0.30150753768844224,8.998496024787116,0.971390583326281,0.03011339172288388,1,0.35,0.2,3.1494736086754904,0.1942781166652562
0.4020100502512563,8.687468402538823,1.2599645102396848,0.05256708732418054,1,0.35,0.2,3.040613940888588,0.25199290204793695
0.5025125628140704,8.387191250074908,1.5321533605228619,0.08065539252453421,1,0.35,0.2,2.935516937526218,0.3064306721045724
0.6030150753768845,8.097292951671033,1.7886511157617018,0.11405594012217991,1,0.35,0.2,2.8340525330848614,0.3577302231523404
0.7035175879396985,7.8174147445009945,2.030125213272686,0.1524600513352011,1,0.35,0.2,2.736095160575348,0.40602504265453726
0.8040201005025126,7.547210304806725,2.2572174522346717,0.19557225215741897,1,0.35,0.2,2.6415236066823535,0.4514434904469344
0.9045226130653267,7.286345292097719,2.4705450078944,0.24310973601414665,1,0.35,0.2,2.5502208522342014,0.49410900157888
1.0050251256281408,7.034497053826924,2.670701027448221,0.2948020168788478,1,0.35,0.2,2.4620739688394235,0.5341402054896441
1.105527638190955,6.791353887958743,2.85825620085997,0.35039006280389934,1,0.35,0.2,2.3769738607855597,0.571651240171994
1.206030150753769,6.556614871240367,3.033759210605444,0.4096260962979278,1,0.35,0.2,2.294815204934128,0.6067518421210889
1.306532663316583,6.329989634315483,3.197737220605919,0.47227333739394295,1,0.35,0.2,2.215496372010419,0.6395474441211838
1.407035175879397,6.111197567570333,3.350697567219656,0.5381050628960696,1,0.35,0.2,2.138919148649616,0.6701395134439312
1.5075376884422111,5.899968101718067,3.49312714826669,0.6069049591212309,1,0.35,0.2,2.0649888356013233,0.6986254296533381
1.6080402010050252,5.696039733143729,3.625494532355285,0.6784659612718112,1,0.35,0.2,1.993613906600305,0.725098906471057
1.7085427135678393,5.499159930114993,3.7482501596889803,0.752590157673719,1,0.35,0.2,1.9247059755402474,0.7496500319377961
1.8090452261306533,5.3090853069998785,3.8618259580403684,0.8290890174333719,1,0.35,0.2,1.8581798574499573,0.7723651916080737
1.9095477386934674,5.1255802432761355,3.9666383238337217,0.907781735778971,1,0.35,0.2,1.7939530851466472,0.7933276647667444
2.0100502512562817,4.948417983010221,4.063085760072492,0.9884965873419679,1,0.35,0.2,1.7319462940535773,0.8126171520144985
2.1105527638190957,4.777379060658256,4.151552252004615,1.0710690316229252,1,0.35,0.2,1.6720826712303896,0.8303104504009231
2.21105527638191,4.612251942754387,4.232405890482674,1.1553425163908952,1,0.35,0.2,1.6142881799640354,0.8464811780965349
2.311557788944724,4.452832297346846,4.306000446400891,1.2411676053141847,1,0.35,0.2,1.558491304071396,0.8612000892801783
2.412060301507538,4.298922870005352,4.372675624402733,1.3284018497484484,1,0.35,0.2,1.5046230045018731,0.8745351248805466
2.512562814070352,4.150333249705039,4.432757561531687,1.4169095247036756,1,0.35,0.2,1.4526166373967635,0.8865515123063376
2.613065326633166,4.00687953008155,4.486559567159966,1.5065612343849515,1,0.35,0.2,1.4024078355285423,0.8973119134319932
2.71356783919598,3.868384270445449,4.53438216952276,1.597233887877,1,0.35,0.2,1.353934494655907,0.9068764339045521
2.814070351758794,3.7346759728556855,4.576514272842497,1.6888100811827018,1,0.35,0.2,1.3071365904994898,0.9153028545684994
2.9145728643216082,3.6055892873234243,4.6132326743937515,1.78117836755813,1,0.35,0.2,1.2619562505631985,0.9226465348787504
