Time,B,A,k1,_J0
0,0,1,1,1
0.10101010101010101,0.10101010101010101,1,1,1
0.20202020202020202,0.202020202020202,1,1,1
0.30303030303030304,0.303030303030303,1,1,1
0.40404040404040403,0.4040404040404041,1,1,1
0.5050505050505051,0.5050505050505051,1,1,1
0.6060606060606061,0.6060606060606061,1,1,1
0.7070707070707071,0.7070707070707071,1,1,1
0.8080808080808081,0.8080808080808081,1,1,1
0.9090909090909091,0.9090909090909091,1,1,1
1.0101010101010102,1.0101010101010102,1,1,1
1.1111111111111112,1.1111111111111112,1,1,1
1.2121212121212122,1.2121212121212128,1,1,1
1.3131313131313131,1.3131313131313131,1,1,1
1.4141414141414141,1.4141414141414135,1,1,1
1.5151515151515151,1.5151515151515156,1,1,1
1.6161616161616161,1.616161616161616,1,1,1
1.7171717171717171,1.7171717171717162,1,1,1
1.8181818181818181,1.8181818181818183,1,1,1
1.9191919191919191,1.9191919191919187,1,1,1
2.0202020202020203,2.0202020202020208,1,1,1
2.1212121212121215,2.121212121212121,1,1,1
2.2222222222222228,2.222222222222223,1,1,1
2.323232323232324,2.3232323232323235,1,1,1
2.424242424242425,2.4242424242424256,1,1,1
2.5252525252525264,2.525252525252526,1,1,1
2.6262626262626276,2.626262626262628,1,1,1
2.727272727272729,2.7272727272727284,1,1,1
2.82828282828283,2.8282828282828305,1,1,1
2.9292929292929313,2.929292929292931,1,1,1
3.0303030303030325,3.0606060606057612,1,2,2
3.1313131313131337,3.2626262626259637,1,2,2
3.232323232323235,3.464646464646166,1,2,2
3.333333333333336,3.6666666666663685,1,2,2
3.4343434343434374,3.868686868686571,1,2,2
3.5353535353535386,4.070707070706773,1,2,2
3.63636363636364,4.272727272726976,1,2,2
3.737373737373741,4.474747474747178,1,2,2
3.8383838383838422,4.676767676767381,1,2,2
3.9393939393939434,4.878787878787583,1,2,2
4.040404040404044,5.080808080807785,1,2,2
4.141414141414145,5.282828282827987,1,2,2
4.242424242424247,5.4848484848481895,1,2,2
4.343434343434348,5.686868686868392,1,2,2
4.444444444444449,5.888888888888594,1,2,2
4.54545454545455,6.090909090908797,1,2,2
4.6464646464646515,6.292929292928999,1,2,2
4.747474747474753,6.494949494949202,1,2,2
4.848484848484854,6.696969696969404,1,2,2
4.949494949494955,6.898989898989607,1,2,2
5.050505050505056,7.101010101009809,1,2,2
5.151515151515158,7.303030303030011,1,2,2
5.252525252525259,7.505050505050214,1,2,2
5.35353535353536,7.707070707070416,1,2,2
5.454545454545461,7.909090909090619,1,2,2
5.5555555555555625,8.111111111110821,1,2,2
5.656565656565664,8.313131313131024,1,2,2
5.757575757575765,8.515151515151226,1,2,2
5.858585858585866,8.717171717171428,1,2,2
5.959595959595967,8.919191919191631,1,2,2
6.0606060606060685,9.121212121211833,1,2,2
6.16161616161617,9.323232323232036,1,2,2
6.262626262626271,9.525252525252238,1,2,2
6.363636363636372,9.72727272727244,1,2,2
6.464646464646473,9.929292929292643,1,2,2
6.565656565656575,10.131313131312845,1,2,2
6.666666666666676,10.333333333333044,1,2,2
6.767676767676777,10.535353535353238,1,2,2
6.868686868686878,10.737373737373446,1,2,2
6.9696969696969795,10.93939393939364,1,2,2
7.070707070707081,11.141414141413847,1,2,2
7.171717171717182,11.343434343434055,1,2,2
7.272727272727283,11.545454545454248,1,2,2
7.373737373737384,11.747474747474456,1,2,2
7.474747474747486,11.949494949494664,1,2,2
7.575757575757587,12.151515151514857,1,2,2
7.676767676767688,12.353535353535065,1,2,2
7.777777777777789,12.555555555555266,1,2,2
7.87878787878789,12.757575757575466,1,2,2
7.979797979797992,12.959595959595674,1,2,2
8.080808080808092,13.161616161615868,1,2,2
8.181818181818192,13.363636363636076,1,2,2
8.282828282828293,13.565656565656269,1,2,2
8.383838383838393,13.767676767676477,1,2,2
8.484848484848493,13.96969696969667,1,2,2
8.585858585858594,14.171717171716878,1,2,2
8.686868686868694,14.373737373737072,1,2,2
8.787878787878794,14.57575757575728,1,2,2
8.888888888888895,14.777777777777473,1,2,2
8.989898989898995,14.97979797979768,1,2,2
9.090909090909095,15.181818181817874,1,2,2
9.191919191919196,15.383838383838082,1,2,2
9.292929292929296,15.585858585858276,1,2,2
9.393939393939396,15.787878787878483,1,2,2
9.494949494949497,15.989898989898677,1,2,2
9.595959595959597,16.191919191918885,1,2,2
9.696969696969697,16.39393939393908,1,2,2
9.797979797979798,16.595959595959286,1,2,2
9.898989898989898,16.79797979797948,1,2,2
9.999999999999998,16.999999999999687,1,2,2
