Time,MKKK,MKKK_P,MKK,MKK_P,MKK_PP,MAPK,MAPK_P,MAPK_PP,uVol,J0_V1,J0_Ki,J0_n,J0_K1,J1_V2,J1_KK2,J2_k3,J2_KK3,J3_k4,J3_KK4,J4_V5,J4_KK5,J5_V6,J5_KK6,J6_k7,J6_KK7,J7_k8,J7_KK8,J8_V9,J8_KK9,J9_V10,J9_KK10,J0,J1,J2,J3,J4,J5,J6,J7,J8,J9
0,90,10,280,10,10,280,10,10,1,2.5,9,1,10,0.25,8,0.025,15,0.025,15,0.75,15,0.75,15,0.025,15,0.025,15,0.5,15,0.5,15,1.0657894736842106,0.1388888888888889,0.23728813559322035,0.1,0.3,0.3,0.23728813559322035,0.1,0.2,0.2
0.10033444816053512,89.9070073593482,10.0929926406518,280.0061697740159,10.013811286283353,9.980018939700795,279.9962986666981,10.013734604018776,9.989966729283108,1,2.5,9,1,10,0.25,8,0.025,15,0.025,15,0.75,15,0.75,15,0.025,15,0.025,15,0.5,15,0.5,15,1.0662422955609692,0.1394599671971154,0.23949500895448425,0.10101351855240519,0.29964005322988957,0.30024846588776005,0.2368138495609557,0.09988238720377686,0.199879552412067,0.2001647247510562
0.20066889632107024,89.81402516261225,10.185974837387743,280.01216016115876,10.027676112576144,9.960163726265119,279.9926556385291,10.027410605817005,9.979933755653922,1,2.5,9,1,10,0.25,8,0.025,15,0.025,15,0.75,15,0.75,15,0.025,15,0.025,15,0.5,15,0.5,15,1.0666953863120947,0.14002514201832678,0.24170163155359908,0.10202870624177691,0.2992818026605397,0.3004976191398372,0.23634255285737998,0.09976526632884193,0.19975901163859328,0.20032856702096025
0.3010033444816054,89.72105356065254,10.27894643934746,280.0179598190689,10.041597815804938,9.940442365126192,279.9890742902248,10.041024558771094,9.969901151004134,1,2.5,9,1,10,0.25,8,0.025,15,0.025,15,0.75,15,0.75,15,0.025,15,0.025,15,0.5,15,0.5,15,1.067148741972694,0.14058450350864982,0.24390799909273153,0.10304558725979361,0.298925402552976,0.30074751688170664,0.23587443556542972,0.09964870414848859,0.19963837843633608,0.2004914881818211
0.4013377926421405,89.62809197683262,10.371908023167377,280.0235639211107,10.055577762496673,9.920858316392724,279.98555563697323,10.054575342022417,9.959869021004387,1,2.5,9,1,10,0.25,8,0.025,15,0.025,15,0.75,15,0.75,15,0.025,15,0.025,15,0.5,15,0.5,15,1.0676023557903191,0.14113814430825822,0.2461141248098679,0.10406418149787472,0.29857092572129235,0.3009981806590362,0.23540957981085886,0.09953273607515119,0.19951765397131882,0.20065347755382884
0.5016722408026756,89.53514001291653,10.464859987083466,280.02897229791824,10.069615969445906,9.901411732635902,279.9820994609045,10.068063123724038,9.949837415371482,1,2.5,9,1,10,0.25,8,0.025,15,0.025,15,0.75,15,0.75,15,0.025,15,0.025,15,0.5,15,0.5,15,1.0680562243486373,0.1416861540570013,0.24832001791212444,0.10508449887343867,0.29821838533533024,0.3012496077438457,0.23494798918278498,0.0994173720623601,0.19939683873934647,0.20081453987954448
0.6020066889632107,89.44219609701811,10.557803902981886,280.034184617291,10.083712405063016,9.882102977646076,279.9787047962674,10.081488673202179,9.93980653053047,1,2.5,9,1,10,0.25,8,0.025,15,0.025,15,0.75,15,0.75,15,0.025,15,0.025,15,0.5,15,0.5,15,1.0685103345272355,0.14222862734967048,0.250525715448527,0.10610656077091722,0.2978677983887885,0.3015017945378274,0.234489672250715,0.09930262766161106,0.19927593500700366,0.20097468704027815
0.7023411371237459,89.34926112215511,10.650738877844889,280.03920118782014,10.097867052222524,9.862931759957378,279.97537215635936,10.09485158945291,9.929776254187752,1,2.5,9,1,10,0.25,8,0.025,15,0.025,15,0.75,15,0.75,15,0.025,15,0.025,15,0.5,15,0.5,15,1.0689646935446677,0.1427656425249839,0.25273119600749444,0.10713036387975787,0.29751916995892985,0.3017547376997614,0.2340346220991547,0.09918850486001413,0.19915494132282335,0.20113391692054608
0.8026755852842811,89.25633448484461,10.743665515155387,280.04402203560414,10.112079854508773,9.843898109887117,279.9721011133629,10.10815222195515,9.919746664681975,1,2.5,9,1,10,0.25,8,0.025,15,0.025,15,0.75,15,0.75,15,0.025,15,0.025,15,0.5,15,0.5,15,1.069419296069955,0.14329728497433553,0.2549364736752965,0.10815591962992802,0.2971725109223966,0.3020084331851905,0.23358283940824062,0.09907501323927304,0.19903385853317968,0.20129223633422827
0.9030100334448162,89.16341422728624,10.836585772713764,280.0486472453104,10.126350628899859,9.825002125789764,279.9688902793656,10.121391704477485,9.909718016156917,1,2.5,9,1,10,0.25,8,0.025,15,0.025,15,0.75,15,0.75,15,0.025,15,0.025,15,0.5,15,0.5,15,1.0698741251604273,0.14382364595514155,0.25714159467769787,0.10918325225115669,0.2968278333675227,0.3022628746945663,0.2331343264322366,0.0989621675644647,0.19891268961232894,0.20144966137910086
