Time,A,B,comp,_J0
0,0,0,5,1
0.10050251256281408,-0.020100502512562814,0.020100502512562814,5,1
0.20100502512562815,-0.04020100502512562,0.04020100502512562,5,1
0.30150753768844224,-0.06030150753768844,0.06030150753768844,5,1
0.4020100502512563,-0.08040201005025124,0.08040201005025124,5,1
0.5025125628140704,-0.10050251256281409,0.10050251256281409,5,1
0.6030150753768845,-0.1206030150753769,0.1206030150753769,5,1
0.7035175879396985,-0.1407035175879397,0.1407035175879397,5,1
0.8040201005025126,-0.16080402010050251,0.16080402010050251,5,1
0.9045226130653267,-0.18090452261306533,0.18090452261306533,5,1
1.0050251256281408,-0.20100502512562818,0.20100502512562818,5,1
1.105527638190955,-0.22110552763819097,0.22110552763819097,5,1
1.206030150753769,-0.2412060301507538,0.2412060301507538,5,1
1.306532663316583,-0.26130653266331655,0.26130653266331655,5,1
1.407035175879397,-0.2814070351758794,0.2814070351758794,5,1
1.5075376884422111,-0.3015075376884422,0.3015075376884422,5,1
1.6080402010050252,-0.321608040201005,0.321608040201005,5,1
1.7085427135678393,-0.3417085427135678,0.3417085427135678,5,1
1.8090452261306533,-0.3618090452261306,0.3618090452261306,5,1
1.9095477386934674,-0.38190954773869346,0.38190954773869346,5,1
2.0100502512562817,-0.40201005025125625,0.40201005025125625,5,1
2.1105527638190957,-0.42211055276381904,0.42211055276381904,5,1
2.21105527638191,-0.4422110552763819,0.4422110552763819,5,1
2.311557788944724,-0.46231155778894467,0.46231155778894467,5,1
2.412060301507538,-0.4824120603015075,0.4824120603015075,5,1
2.512562814070352,-0.5025125628140703,0.5025125628140703,5,1
2.613065326633166,-0.5226130653266331,0.5226130653266331,5,1
2.71356783919598,-0.5427135678391959,0.5427135678391959,5,1
2.814070351758794,-0.5628140703517588,0.5628140703517588,5,1
2.9145728643216082,-0.5829145728643216,0.5829145728643216,5,1
3.0150753768844223,-0.6030150753768844,0.6030150753768844,5,1
3.1155778894472363,-0.6231155778894472,0.6231155778894472,5,1
3.2160804020100504,-0.64321608040201,0.64321608040201,5,1
3.3165829145728645,-0.6633165829145728,0.6633165829145728,5,1
3.4170854271356785,-0.6834170854271356,0.6834170854271356,5,1
3.5175879396984926,-0.7035175879396984,0.7035175879396984,5,1
3.6180904522613067,-0.7236180904522612,0.7236180904522612,5,1
3.7185929648241207,-0.743718592964824,0.743718592964824,5,1
3.819095477386935,-0.7638190954773869,0.7638190954773869,5,1
3.919597989949749,-0.7839195979899497,0.7839195979899497,5,1
4.020100502512563,-0.8040201005025128,0.8040201005025128,5,1
4.120603015075377,-0.8241206030150755,0.8241206030150755,5,1
4.2211055276381915,-0.8442211055276383,0.8442211055276383,5,1
4.3216080402010055,-0.864321608040201,0.864321608040201,5,1
4.42211055276382,-0.8844221105527641,0.8844221105527641,5,1
4.522613065326634,-0.9045226130653268,0.9045226130653268,5,1
4.623115577889448,-0.9246231155778896,0.9246231155778896,5,1
4.723618090452262,-0.9447236180904524,0.9447236180904524,5,1
4.824120603015076,-0.9648241206030151,0.9648241206030151,5,1
4.92462311557789,-0.9849246231155782,0.9849246231155782,5,1
5.025125628140704,-1.0050251256281408,1.0050251256281408,5,1
5.125628140703518,-1.0251256281407035,1.0251256281407035,5,1
5.226130653266332,-1.0452261306532664,1.0452261306532664,5,1
5.326633165829146,-1.0653266331658293,1.0653266331658293,5,1
5.42713567839196,-1.0854271356783918,1.0854271356783918,5,1
5.527638190954774,-1.105527638190955,1.105527638190955,5,1
5.628140703517588,-1.1256281407035176,1.1256281407035176,5,1
5.728643216080402,-1.1457286432160805,1.1457286432160805,5,1
5.8291457286432165,-1.1658291457286434,1.1658291457286434,5,1
5.9296482412060305,-1.1859296482412058,1.1859296482412058,5,1
6.030150753768845,-1.2060301507537692,1.2060301507537692,5,1
6.130653266331659,-1.2261306532663316,1.2261306532663316,5,1
6.231155778894473,-1.2462311557788945,1.2462311557788945,5,1
6.331658291457287,-1.2663316582914574,1.2663316582914574,5,1
6.432160804020101,-1.28643216080402,1.28643216080402,5,1
6.532663316582915,-1.3065326633165832,1.3065326633165832,5,1
6.633165829145729,-1.3266331658291457,1.3266331658291457,5,1
6.733668341708543,-1.3467336683417086,1.3467336683417086,5,1
6.834170854271357,-1.3668341708542715,1.3668341708542715,5,1
6.934673366834171,-1.3869346733668342,1.3869346733668342,5,1
7.035175879396985,-1.407035175879397,1.407035175879397,5,1
7.135678391959799,-1.4271356783919598,1.4271356783919598,5,1
7.236180904522613,-1.4472361809045227,1.4472361809045227,5,1
7.336683417085427,-1.4673366834170856,1.4673366834170856,5,1
7.437185929648241,-1.4874371859296482,1.4874371859296482,5,1
7.5376884422110555,-1.5075376884422111,1.5075376884422111,5,1
7.63819095477387,-1.5276381909547738,1.5276381909547738,5,1
7.738693467336684,-1.5477386934673367,1.5477386934673367,5,1
7.839195979899498,-1.5678391959798996,1.5678391959798996,5,1
7.939698492462312,-1.5879396984924623,1.5879396984924623,5,1
8.040201005025127,-1.6080402010050254,1.6080402010050254,5,1
8.14070351758794,-1.628140703517588,1.628140703517588,5,1
8.241206030150755,-1.648241206030151,1.648241206030151,5,1
8.341708542713569,-1.6683417085427137,1.6683417085427137,5,1
8.442211055276383,-1.6884422110552766,1.6884422110552766,5,1
8.542713567839197,-1.7085427135678395,1.7085427135678395,5,1
8.643216080402011,-1.7286432160804022,1.7286432160804022,5,1
8.743718592964825,-1.748743718592965,1.748743718592965,5,1
8.84422110552764,-1.7688442211055277,1.7688442211055277,5,1
8.944723618090453,-1.7889447236180906,1.7889447236180906,5,1
9.045226130653267,-1.8090452261306535,1.8090452261306535,5,1
9.145728643216081,-1.8291457286432162,1.8291457286432162,5,1
9.246231155778895,-1.8492462311557791,1.8492462311557791,5,1
9.34673366834171,-1.8693467336683418,1.8693467336683418,5,1
9.447236180904524,-1.8894472361809047,1.8894472361809047,5,1
9.547738693467338,-1.9095477386934676,1.9095477386934676,5,1
9.648241206030152,-1.9296482412060303,1.9296482412060303,5,1
9.748743718592966,-1.9497487437185932,1.9497487437185932,5,1
9.84924623115578,-1.9698492462311559,1.9698492462311559,5,1
9.949748743718594,-1.9899497487437188,1.9899497487437188,5,1
10.050251256281408,-1.0050251256281408,1.0050251256281408,10,1
10.150753768844222,-1.0150753768844223,1.0150753768844223,10,1
10.251256281407036,-1.0251256281407035,1.0251256281407035,10,1
10.35175879396985,-1.035175879396985,1.035175879396985,10,1
10.452261306532664,-1.0452261306532664,1.0452261306532664,10,1
10.552763819095478,-1.0552763819095479,1.0552763819095479,10,1
10.653266331658292,-1.0653266331658293,1.0653266331658293,10,1
10.753768844221106,-1.0753768844221105,1.0753768844221105,10,1
10.85427135678392,-1.085427135678392,1.085427135678392,10,1
10.954773869346734,-1.0954773869346734,1.0954773869346734,10,1
11.055276381909549,-1.105527638190955,1.105527638190955,10,1
11.155778894472363,-1.1155778894472363,1.1155778894472363,10,1
11.256281407035177,-1.1256281407035176,1.1256281407035176,10,1
11.35678391959799,-1.135678391959799,1.135678391959799,10,1
11.457286432160805,-1.1457286432160805,1.1457286432160805,10,1
11.557788944723619,-1.155778894472362,1.155778894472362,10,1
11.658291457286433,-1.1658291457286434,1.1658291457286434,10,1
11.758793969849247,-1.1758793969849246,1.1758793969849246,10,1
11.859296482412061,-1.185929648241206,1.185929648241206,10,1
11.959798994974875,-1.1959798994974875,1.1959798994974875,10,1
12.06030150753769,-1.206030150753769,1.206030150753769,10,1
12.160804020100503,-1.2160804020100504,1.2160804020100504,10,1
12.261306532663317,-1.2261306532663316,1.2261306532663316,10,1
12.361809045226131,-1.236180904522613,1.236180904522613,10,1
12.462311557788945,-1.2462311557788945,1.2462311557788945,10,1
12.56281407035176,-1.256281407035176,1.256281407035176,10,1
12.663316582914574,-1.2663316582914574,1.2663316582914574,10,1
12.763819095477388,-1.2763819095477387,1.2763819095477387,10,1
12.864321608040202,-1.2864321608040201,1.2864321608040201,10,1
12.964824120603016,-1.2964824120603016,1.2964824120603016,10,1
13.06532663316583,-1.306532663316583,1.306532663316583,10,1
13.165829145728644,-1.3165829145728645,1.3165829145728645,10,1
13.266331658291458,-1.3266331658291457,1.3266331658291457,10,1
13.366834170854272,-1.3366834170854272,1.3366834170854272,10,1
13.467336683417086,-1.3467336683417086,1.3467336683417086,10,1
13.5678391959799,-1.35678391959799,1.35678391959799,10,1
13.668341708542714,-1.3668341708542715,1.3668341708542715,10,1
13.768844221105528,-1.3768844221105527,1.3768844221105527,10,1
13.869346733668342,-1.3869346733668342,1.3869346733668342,10,1
13.969849246231156,-1.3969849246231156,1.3969849246231156,10,1
14.07035175879397,-1.407035175879397,1.407035175879397,10,1
14.170854271356784,-1.4170854271356785,1.4170854271356785,10,1
14.271356783919598,-1.4271356783919598,1.4271356783919598,10,1
14.371859296482413,-1.4371859296482412,1.4371859296482412,10,1
14.472361809045227,-1.4472361809045227,1.4472361809045227,10,1
14.57286432160804,-1.4572864321608041,1.4572864321608041,10,1
14.673366834170855,-1.4673366834170856,1.4673366834170856,10,1
14.773869346733669,-1.4773869346733668,1.4773869346733668,10,1
14.874371859296483,-1.4874371859296482,1.4874371859296482,10,1
14.974874371859297,-1.4974874371859297,1.4974874371859297,10,1
15.075376884422111,-1.5075376884422111,1.5075376884422111,10,1
15.175879396984925,-1.5175879396984926,1.5175879396984926,10,1
15.27638190954774,-1.5276381909547738,1.5276381909547738,10,1
15.376884422110553,-1.5376884422110553,1.5376884422110553,10,1
15.477386934673367,-1.5477386934673367,1.5477386934673367,10,1
15.577889447236181,-1.5577889447236182,1.5577889447236182,10,1
15.678391959798995,-1.5678391959798996,1.5678391959798996,10,1
15.77889447236181,-1.5778894472361809,1.5778894472361809,10,1
15.879396984924623,-1.5879396984924623,1.5879396984924623,10,1
15.979899497487438,-1.5979899497487438,1.5979899497487438,10,1
16.080402010050253,-1.6080402010050254,1.6080402010050254,10,1
16.18090452261307,-1.6180904522613069,1.6180904522613069,10,1
16.281407035175885,-1.6281407035175886,1.6281407035175886,10,1
16.3819095477387,-1.63819095477387,1.63819095477387,10,1
16.482412060301517,-1.6482412060301517,1.6482412060301517,10,1
16.582914572864333,-1.6582914572864333,1.6582914572864333,10,1
16.68341708542715,-1.6683417085427148,1.6683417085427148,10,1
16.783919597989964,-1.6783919597989965,1.6783919597989965,10,1
16.88442211055278,-1.688442211055278,1.688442211055278,10,1
16.984924623115596,-1.6984924623115596,1.6984924623115596,10,1
17.08542713567841,-1.7085427135678413,1.7085427135678413,10,1
17.185929648241228,-1.7185929648241227,1.7185929648241227,10,1
17.286432160804043,-1.728643216080404,1.728643216080404,10,1
17.38693467336686,-1.7386934673366852,1.7386934673366852,10,1
17.487437185929675,-1.748743718592968,1.748743718592968,10,1
17.58793969849249,-1.7587939698492492,1.7587939698492492,10,1
17.688442211055307,-1.7688442211055304,1.7688442211055304,10,1
17.788944723618123,-1.778894472361813,1.778894472361813,10,1
17.88944723618094,-1.7889447236180942,1.7889447236180942,10,1
17.989949748743754,-1.7989949748743754,1.7989949748743754,10,1
18.09045226130657,-1.8090452261306567,1.8090452261306567,10,1
18.190954773869386,-1.8190954773869386,1.8190954773869386,10,1
18.291457286432202,-1.8291457286432204,1.8291457286432204,10,1
18.391959798995018,-1.8391959798995017,1.8391959798995017,10,1
18.492462311557833,-1.849246231155783,1.849246231155783,10,1
18.59296482412065,-1.859296482412065,1.859296482412065,10,1
18.693467336683465,-1.869346733668347,1.869346733668347,10,1
18.79396984924628,-1.8793969849246281,1.8793969849246281,10,1
18.894472361809097,-1.8894472361809094,1.8894472361809094,10,1
18.994974874371913,-1.8994974874371913,1.8994974874371913,10,1
19.09547738693473,-1.9095477386934732,1.9095477386934732,10,1
19.195979899497544,-1.9195979899497544,1.9195979899497544,10,1
19.29648241206036,-1.9296482412060356,1.9296482412060356,10,1
19.396984924623176,-1.9396984924623175,1.9396984924623175,10,1
19.497487437185992,-1.9497487437185996,1.9497487437185996,10,1
19.597989949748808,-1.9597989949748809,1.9597989949748809,10,1
19.698492462311624,-1.969849246231162,1.969849246231162,10,1
19.79899497487444,-1.979899497487444,1.979899497487444,10,1
19.899497487437255,-1.9899497487437259,1.9899497487437259,10,1
20.00000000000007,-2.000000000000007,2.000000000000007,10,1
