Time,A,B,C,k1,k2,e1,e2,e3,_J0,_J1
0,10,0,0,2,0.2,0,0,0,20,0
0.10033444816053512,8.181832636057354,1.7994427417538978,0.018724622158494502,2,0.2,0,0,0,16.36366527211471,0.3598885483507796
0.20066889632107024,6.694237807743189,3.235968168562966,0.06979404509001927,2,0.2,0,0,0,13.388475615486378,0.6471936337125932
0.3010033444816054,5.477107218179931,4.376276156366043,0.14661665019872708,2,0.2,0,0,3,10.954214436359862,0.8752552312732086
0.4013377926421405,4.481281622353471,5.274902619260264,0.24381578313096366,2,0.2,0,0,3,8.962563244706942,1.0549805238520529
0.5016722408026756,3.666513689154869,5.976483163145497,0.35700317244433194,2,0.2,0,0,3,7.333027378309738,1.1952966326290995
0.6020066889632107,2.9998781142134097,6.517519572295081,0.4826023382362063,2,0.2,0,3,3,5.999756228426819,1.3035039144590161
0.7023411371237459,2.454456316106785,6.927840682198128,0.6177030264397819,2,0.2,0,3,3,4.90891263221357,1.3855681364396257
0.8026755852842811,2.008194285710182,7.23187227815247,0.7599334608820427,2,0.2,0,3,3,4.016388571420364,1.446374455630494
0.9030100334448162,1.6430650898360757,7.4495670517447925,0.9073678831638277,2,0.2,0,3,3,3.2861301796721514,1.4899134103489586
1.0033444816053514,1.3443260742148986,7.597230016957629,1.0584439335721716,2,0.2,0,3,3,2.688652148429797,1.5194460033915258
1.1036789297658864,1.099903082991148,7.688202701601174,1.211894240152378,2,0.2,0,3,3,2.199806165982296,1.537640540320235
1.2040133779264215,0.8999204954929744,7.7333852873138245,1.3666942419379033,2,0.2,0,3,3,1.7998409909859487,1.546677057462765
1.3043478260869565,0.7362985707498403,7.741683979192299,1.5220174748025639,2,0.2,0,3,3,1.4725971414996806,1.54833679583846
1.4046822742474916,0.6024259686075539,7.720374841999789,1.6771992141373633,2,0.2,0,3,3,1.2048519372151079,1.5440749683999577
1.5050167224080266,0.4928939604774386,7.675399093542853,1.8317069707244154,2,0.2,0,3,3,0.9857879209548772,1.5350798187085708
