Time,A,B,C,k1,k2,X,Y,Z,_J0,_J1
0,10,0,0,0.35,0.2,0,0,5,3.5,0
0.10033444816053512,9.654923922562027,0.3416167565142023,0.003459320910577209,0.35,0.2,0,0,5,3.379223372896709,0.06832335130284047
0.20066889632107024,9.321755588361674,0.6646582870292054,0.013586124493574547,0.35,0.2,0,0,5,3.2626144559265855,0.1329316574058411
0.3010033444816054,9.000084086965282,0.9699004195819508,0.030015494352342874,0.35,0.2,0,0,5,3.1500294304378484,0.19398008391639018
0.4013377926421405,8.689512705313405,1.2580894921042962,0.05239780501360475,0.35,0.2,0,0,5,3.0413294468596916,0.25161789842085924
0.5016722408026756,8.38965839531419,1.5299435131848422,0.08039809498817589,0.35,0.2,0,0,5,2.936380438359966,0.3059887026369685
0.6020066889632107,8.1001513114753,1.786153179249616,0.1136955157311683,0.35,0.2,0,0,5,2.8350529590163545,0.3572306358499232
0.7023411371237459,7.8206344108752,2.0273827390537926,0.15198285969473516,0.35,0.2,0,0,5,2.73722204380632,0.40547654781075854
0.8026755852842811,7.550762995937742,2.2542710027169215,0.19496602173464642,0.35,0.2,0,0,5,2.6427670485782095,0.4508542005433843
0.9030100334448162,7.290204230186837,2.4674323700854575,0.24236342882866677,0.35,0.2,0,0,5,2.551571480565393,0.4934864740170915
1.0033444816053514,7.038636763681274,2.667457667554112,0.2939056008979584,0.35,0.2,0,0,5,2.4635228672884457,0.5334915335108225
1.1036789297658864,6.795750339564083,2.854915005519417,0.34933468938998224,0.35,0.2,0,0,5,2.3785126188474286,0.5709830011038834
1.2040133779264215,6.561245424038724,3.030350571101156,0.408404045471914,0.35,0.2,0,8,0,2.296435898413553,0.6060701142202313
1.3043478260869565,6.334832761054924,3.1942895919870664,0.47087769692174886,0.35,0.2,0,8,0,2.2171914663692234,0.6388579183974133
1.4046822742474916,6.11623309592441,3.3472369369584967,0.5365300304618229,0.35,0.2,0,8,0,2.1406815835735435,0.6694473873916994
1.5050167224080266,5.9051767528926975,3.48967802680674,0.6051452962261076,0.35,0.2,0,8,0,2.066811863512444,0.697935605361348
1.6053511705685617,5.701403419776004,3.6220793013281973,0.6765173652599018,0.35,0.2,0,8,0,1.9954911969216014,0.7244158602656395
1.7056856187290967,5.504661742473964,3.744889095722558,0.7504492541822095,0.35,0.2,0,8,0,1.926631609865887,0.7489778191445117
1.8060200668896318,5.314709097337866,3.8585381265726846,0.8267528697069224,0.35,0.2,0,8,0,1.860148184068253,0.771707625314537
1.9063545150501668,5.131311223021254,3.9634402920148752,0.9052485777532266,0.35,0.2,0,8,0,1.7959589280574388,0.7926880584029751
2.006688963210702,4.95424196408819,4.059993210598561,0.9857649147576706,0.35,0.2,10,8,0,1.7339846874308664,0.8119986421197123
