Time,A,_J0
0,0,-2
0.10050251256281408,0.20100502512562815,-2
0.20100502512562815,0.40201005025125625,-2
0.30150753768844224,0.6030150753768844,-2
0.4020100502512563,0.8040201005025125,-2
0.5025125628140704,0.00502512562808128,-2
0.6030150753768845,0.2060301507537094,-2
0.7035175879396985,0.4070351758793378,-2
0.8040201005025126,0.6080402010049659,-2
0.9045226130653267,0.809045226130594,-2
1.0050251256281408,0.010050251256222317,-2
1.105527638190955,0.21105527638185057,-2
1.206030150753769,0.41206030150747885,-2
1.306532663316583,0.613065326633107,-2
1.407035175879397,0.8140703517587351,-2
1.5075376884422111,0.015075376884362683,-2
1.6080402010050252,0.21608040200999062,-2
1.7085427135678393,0.41708542713561814,-2
1.8090452261306533,0.6180904522612463,-2
1.9095477386934674,0.8190954773868744,-2
2.0100502512562817,0.020100502512410707,-2
2.1105527638190957,0.22110552763803876,-2
2.21105527638191,0.4221105527636664,-2
2.311557788944724,0.6231155778892945,-2
2.412060301507538,0.8241206030149226,-2
2.512562814070352,0.025125628140550547,-2
2.613065326633166,0.22613065326617893,-2
2.71356783919598,0.427135678391807,-2
2.814070351758794,0.6281407035174351,-2
2.9145728643216082,0.8291457286430632,-2
3.0150753768844223,0.030150753768690156,-2
3.1155778894472363,0.23115577889431782,-2
3.2160804020100504,0.4321608040199467,-2
3.3165829145728645,0.6331658291455748,-2
3.4170854271356785,0.834170854271203,-2
3.5175879396984926,0.03517587939683148,-2
3.6180904522613067,0.2361809045224596,-2
3.7185929648241207,0.4371859296480878,-2
3.819095477386935,0.6381909547737159,-2
3.919597989949749,0.839195979899344,-2
4.020100502512563,0.040201005024975034,-2
4.120603015075377,0.24120603015060316,-2
4.2211055276381915,0.44221105527623106,-2
4.3216080402010055,0.6432160804018592,-2
4.42211055276382,0.8442211055274873,-2
4.522613065326634,0.04522613065311343,-2
4.623115577889448,0.24623115577874155,-2
4.723618090452262,0.4472361809043708,-2
4.824120603015076,0.6482412060299989,-2
4.92462311557789,0.849246231155627,-2
