Time,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,Xo,k10,k11,k20,k21,k30,k31,k40,k41,k50,k51,k60,k61,k70,k71,k80,k81,k90,k91,k100,k101,k110,k111,k120,k121,k130,k131,k140,k141,k150,k151,k160,k161,k170,k171,k180,k181,k190,k191,X1,k200,k201,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.32,0.36,0.37,0.46,5.01,0.86,2.22,0.85,1.29,0.83,2.25,0.37,0.9,0.25,0.28,0.75,2.81,0.41,2.3,0.05,0.5,0.17,0.9,0.7,0.98,0.46,4.22,0.75,0.71,0.44,1.33,0.11,0.33,0.21,2.21,0.67,3.84,0.45,0,4.19,0.24,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10033444816053512,4.1805645447630475,0.06609009165269407,0.010763333050483569,0.0006002270135254835,0.00001531262491730629,5.851612067048532e-7,7.71002293897648e-9,2.6617630241358025e-11,8.297625142802263e-13,1.9467889316596487e-14,8.973293237984216e-17,6.792828961731361e-19,5.067191291504103e-21,1.5518655970813197e-22,7.467032120701657e-25,6.3827377829256335e-27,1.264020706544085e-29,1.573817118906917e-31,3.2456688227329934e-33,10,4.32,0.36,0.37,0.46,5.01,0.86,2.22,0.85,1.29,0.83,2.25,0.37,0.9,0.25,0.28,0.75,2.81,0.41,2.3,0.05,0.5,0.17,0.9,0.7,0.98,0.46,4.22,0.75,0.71,0.44,1.33,0.11,0.33,0.21,2.21,0.67,3.84,0.45,0,4.19,0.24,41.69499676388531,1.5164074394020883,0.3218548927565814,0.023384406410576864,0.0007615833687665095,0.00003423689641745835,5.247175802996238e-7,2.1388432002323966e-9,7.445533834736116e-11,1.9074803883786905e-12,9.718690059793671e-15,8.028414111453676e-17,6.633663302555814e-19,2.1267157330366214e-20,1.0985390797946282e-22,9.924131708971985e-25,2.1036490248817166e-27,2.7829411867657516e-29,6.028852226900263e-31,1.3599352367251244e-32
0.20066889632107024,8.071028071417542,0.22142150191553156,0.06975088360766686,0.007759370613119673,0.0003892712566365173,0.000030163169929281342,8.109138296373988e-7,5.499288833951796e-9,3.405743884568317e-10,1.6206921307868673e-11,1.5038575811478946e-13,2.2760440904432853e-15,3.3205526030187674e-17,2.032493756523202e-18,1.9461613863189517e-20,3.328994097522372e-22,1.3002412595654909e-24,3.1507738290147e-26,1.261331327524373e-27,10,4.32,0.36,0.37,0.46,5.01,0.86,2.22,0.85,1.29,0.83,2.25,0.37,0.9,0.25,0.28,0.75,2.81,0.41,2.3,0.05,0.5,0.17,0.9,0.7,0.98,0.46,4.22,0.75,0.71,0.44,1.33,0.11,0.33,0.21,2.21,0.67,3.84,0.45,0,4.19,0.24,40.294429894289685,2.884426495543346,1.0493359646942195,0.14825149658786874,0.00968649294791607,0.0008646999545583298,0.00002694412447894386,2.2293140567300782e-7,1.5313366124137245e-8,7.825107473853195e-10,8.077895075054822e-12,1.3375395144000022e-13,2.215248666660533e-15,1.386029495299996e-16,1.43450745703167e-18,2.5847327502969314e-20,1.0958375455372951e-22,2.8524229989853366e-24,1.2042211593677849e-25,5.284978262327123e-27
0.3010033444816054,11.694819565617397,0.42431433974218585,0.1932428367492702,0.03204905246175469,0.0023666737133255255,0.0002784123216470877,0.000011443408339210181,1.1429562279668026e-7,1.054219288356509e-8,7.632829035344414e-10,1.0701305149338742e-11,2.431848483830561e-13,5.2187376698906226e-15,4.804025518745772e-16,6.896983532796583e-18,1.7816063570879926e-19,1.0374596864460238e-21,3.7062060061509045e-23,2.1859088624085356e-24,10,4.32,0.36,0.37,0.46,5.01,0.86,2.22,0.85,1.29,0.83,2.25,0.37,0.9,0.25,0.28,0.75,2.81,0.41,2.3,0.05,0.5,0.17,0.9,0.7,0.98,0.46,4.22,0.75,0.71,0.44,1.33,0.11,0.33,0.21,2.21,0.67,3.84,0.45,0,4.19,0.24,38.989864956377744,4.131898642997031,1.959626002503979,0.4017574029908884,0.03937893849360336,0.00522200329597301,0.0002477102373975764,0.000003118432617881341,3.1684840097640987e-7,2.4208879487022984e-8,3.798222298918331e-10,9.460945240536729e-12,2.3592053208724524e-13,2.1662771053032492e-14,3.3805113907651927e-16,9.153390428691487e-18,5.85751432497501e-20,2.2679543268045014e-21,1.4133465164811088e-22,9.158958133491765e-24
0.4013377926421405,15.072320985683339,0.6517016355813061,0.38059087249213314,0.08339284893329829,0.00804420482619173,0.0012749843186357305,0.00007115049052819075,9.300097062689403e-7,1.1348809551025681e-7,1.1108988224547673e-8,2.091444807810328e-10,6.3432000181351545e-12,1.781270567726505e-13,2.1929621827533732e-14,4.1992388142368348e-16,1.4578875559093793e-17,1.1269573702669733e-19,5.2878891506824936e-21,4.0955844140009956e-22,10,4.32,0.36,0.37,0.46,5.01,0.86,2.22,0.85,1.29,0.83,2.25,0.37,0.9,0.25,0.28,0.75,2.81,0.41,2.3,0.05,0.5,0.17,0.9,0.7,0.98,0.46,4.22,0.75,0.71,0.44,1.33,0.11,0.33,0.21,2.21,0.67,3.84,0.45,0,4.19,0.24,37.773964445154,5.276976012335434,2.937717043919109,0.774027815339232,0.10090008511821567,0.017627716661036172,0.0011296982641401097,0.000019224630068191706,0.000002566797155456517,2.604671702623633e-7,5.518939550541061e-9,1.8378979269023492e-10,6.134397571657032e-12,7.352489632099348e-13,1.538526498972253e-14,5.568950859819987e-16,4.787362829725346e-18,2.4551469309804387e-19,2.012119303999073e-20,1.7160498694664174e-21
0.5016722408026756,18.22169525470999,0.89048313462235,0.624458194294397,0.16903599474068556,0.019941278562924086,0.003986150239993799,0.00028288363109476715,0.000004535176893199778,6.859856739750956e-7,8.507619367787898e-8,2.0157935443311266e-9,7.6477502991212e-11,2.635782345719267e-12,4.0681736338841583e-13,9.740747102194287e-15,4.261708119002155e-16,4.100932121042544e-18,2.3707480564127254e-19,2.26188247014262e-20,10,4.32,0.36,0.37,0.46,5.01,0.86,2.22,0.85,1.29,0.83,2.25,0.37,0.9,0.25,0.28,0.75,2.81,0.41,2.3,0.05,0.5,0.17,0.9,0.7,0.98,0.46,4.22,0.75,0.71,0.44,1.33,0.11,0.33,0.21,2.21,0.67,3.84,0.45,0,4.19,0.24,36.640189708304405,6.332405002316414,3.9242864573647918,1.2426165958039785,0.20150517200825738,0.043393001177781484,0.003516814308220727,0.00007580603403663499,0.000012462592943561587,0.000001573513240458826,4.21954119364032e-8,1.7606799378041656e-9,7.37354930523569e-11,1.0817888476393994e-11,2.845543992808097e-13,1.2908314856609379e-14,1.3977517218165218e-16,8.904219867724369e-18,9.001887825468447e-19,9.477287549897579e-20
0.6020066889632107,21.159374115585145,1.1330085240518972,0.9155644326972354,0.2932915310564444,0.04057885200726203,0.009806746709051881,0.0008488879398466787,0.000016020664679362927,0.0000028818643473334805,4.345449720149876e-7,1.2436216694511532e-8,5.664646851599364e-10,2.301291600886767e-11,4.27471256964935e-12,1.2287759731644518e-13,6.506266812106194e-15,7.486193948135306e-17,5.123374734844926e-18,5.78654283225851e-19,10,4.32,0.36,0.37,0.46,5.01,0.86,2.22,0.85,1.29,0.83,2.25,0.37,0.9,0.25,0.28,0.75,2.81,0.41,2.3,0.05,0.5,0.17,0.9,0.7,0.98,0.46,4.22,0.75,0.71,0.44,1.33,0.11,0.33,0.21,2.21,0.67,3.84,0.45,0,4.19,0.24,35.58262531838935,7.30778450170263,4.888987293380382,1.7832552391898853,0.3446656278967858,0.08767392073399037,0.008613850053185023,0.00022567312464754786,0.0000438365033666031,0.000006606560750266255,2.1515832916942684e-7,1.0796069745448423e-8,5.445494500926586e-10,9.390847113018456e-11,2.980979781631802e-12,1.6271151508154043e-13,2.13134704070396e-15,1.6201222518144416e-16,1.9413364554352884e-17,2.424561446716316e-18
0.7023411371237459,23.900363575435936,1.3746870315660666,1.2447607480949332,0.45795037539259686,0.07218583258167971,0.020477663592439556,0.0021002788125494064,0.00004535608186475017,0.00000942815142210933,0.0000016797574820840067,5.643564220118519e-8,2.9997673842248988e-9,1.397162286732132e-10,3.036310563380077e-11,1.0187247976367295e-12,6.348310210730256e-14,8.495046869827669e-16,6.696296256010917e-17,8.71190121135233e-18,10,4.32,0.36,0.37,0.46,5.01,0.86,2.22,0.85,1.29,0.83,2.25,0.37,0.9,0.25,0.28,0.75,2.81,0.41,2.3,0.05,0.5,0.17,0.9,0.7,0.98,0.46,4.22,0.75,0.71,0.44,1.33,0.11,0.33,0.21,2.21,0.67,3.84,0.45,0,4.19,0.24,34.59586911284307,8.210778488390904,5.816687784784351,2.3741110416870446,0.5308417432136557,0.15484138777957673,0.017904827530058252,0.0005540610061152712,0.00012358504795688315,0.000021600760396747257,8.302846818678019e-7,4.8692240812109243e-8,2.8755025713507226e-9,5.668301557756091e-10,2.1109566089038387e-11,1.347920839625047e-12,2.0771027711143466e-14,1.8325401733166418e-15,2.5321742068571066e-16,3.6502866075566266e-17
0.8026755852842811,26.45844889198952,1.612700216469608,1.6038346115622057,0.6628636736910024,0.11653873151413338,0.03796634249811763,0.004516078142042206,0.0001093035708064108,0.00002570671973536542,0.000005298976632727942,2.046716092587752e-7,1.2432140155709666e-8,6.504819601340026e-10,1.6196165350952518e-10,6.2114146058344655e-12,4.461555148259811e-13,6.800482431887227e-15,6.048097152276245e-16,8.877961311231496e-17,10,4.32,0.36,0.37,0.46,5.01,0.86,2.22,0.85,1.29,0.83,2.25,0.37,0.9,0.25,0.28,0.75,2.81,0.41,2.3,0.05,0.5,0.17,0.9,0.7,0.98,0.46,4.22,0.75,0.71,0.44,1.33,0.11,0.33,0.21,2.21,0.67,3.84,0.45,0,4.19,0.24,33.674958398883774,9.047783990460102,6.7003303185692396,2.997078715030745,0.7583669919046624,0.24816459918249656,0.033040688712795314,0.0011825242016670098,0.00029660327887451457,0.000058860506559704064,0.000002614694142789979,1.7550195022390091e-7,1.188427565093383e-8,2.623562631633347e-9,1.1225975156519571e-10,8.212104319128981e-12,1.4580321858187744e-13,1.4623843665268263e-14,2.2825184805735367e-15,3.719865789405997e-16
0.9030100334448162,28.84634217402366,1.8452931861368018,1.985730934864302,0.906497818056655,0.1749042456373061,0.06433966144488855,0.008730373742077165,0.00023309921593820591,0.00006102843793888179,0.00001432154242260119,6.258103178030614e-7,4.274788176004361e-8,2.4741463358441863e-9,6.94579863633003e-10,2.9965607926723674e-11,2.4417459687156963e-12,4.172588638497323e-14,4.121653087989114e-15,6.719382489578291e-16,10,4.32,0.36,0.37,0.46,5.01,0.86,2.22,0.85,1.29,0.83,2.25,0.37,0.9,0.25,0.28,0.75,2.81,0.41,2.3,0.05,0.5,0.17,0.9,0.7,0.98,0.46,4.22,0.75,0.71,0.44,1.33,0.11,0.33,0.21,2.21,0.67,3.84,0.45,0,4.19,0.24,32.81531681735149,9.824311738765827,7.537190258562077,3.637799530050594,1.024211661414121,0.36972887794933,0.05572310186488041,0.002269680235827952,0.0006299871372314171,0.00013964933013829804,0.000007054383457274075,5.333057687907248e-7,4.075481681035441e-8,9.919962639537713e-9,4.799668356916737e-10,3.9585666485983765e-11,7.970137335353354e-13,8.945270134183814e-14,1.5524775645847174e-14,2.8154212631333043e-15
