Time,X1,k,day1,day2
0,0,0.1,1,2
0.05025125628140704,0,0.1,1,2
0.10050251256281408,0,0.1,1,2
0.15075376884422112,0,0.1,1,2
0.20100502512562815,0,0.1,1,2
0.2512562814070352,0,0.1,1,2
0.30150753768844224,0,0.1,1,2
0.35175879396984927,0,0.1,1,2
0.4020100502512563,0,0.1,1,2
0.45226130653266333,0,0.1,1,2
0.5025125628140704,0,0.1,1,2
0.5527638190954774,0,0.1,1,2
0.6030150753768845,0,0.1,1,2
0.6532663316582915,0,0.1,1,2
0.7035175879396985,0,0.1,1,2
0.7537688442211056,0,0.1,1,2
0.8040201005025126,0,0.1,1,2
0.8542713567839196,0,0.1,1,2
0.9045226130653267,0,0.1,1,2
0.9547738693467337,0,0.1,1,2
1.0050251256281408,15.07159004332339,0.1,1,2
1.0552763819095479,165.3716852103678,0.1,1,2
1.105527638190955,314.9183805804297,0.1,1,2
1.155778894472362,463.71544448941785,0.1,1,2
1.206030150753769,611.7666595567334,0.1,1,2
1.256281407035176,759.0757407420793,0.1,1,2
1.306532663316583,905.6464333488979,0.1,1,2
1.35678391959799,1051.4824356513448,0.1,1,2
1.407035175879397,1196.5874240598125,0.1,1,2
1.4572864321608041,1340.9650296052419,0.1,1,2
1.5075376884422111,1462.0146552753815,0.1,1,2
1.5577889447236182,1454.6872590988014,0.1,1,2
1.6080402010050252,1447.395660562127,0.1,1,2
1.6582914572864322,1440.1404959137717,0.1,1,2
1.7085427135678393,1432.9216103844526,0.1,1,2
1.7587939698492463,1425.738628420641,0.1,1,2
1.8090452261306533,1418.5917698418987,0.1,1,2
1.8592964824120604,1411.4807183786584,0.1,1,2
1.9095477386934674,1404.4050803073674,0.1,1,2
1.9597989949748744,1397.3651308499009,0.1,1,2
2.0100502512562817,1420.494837636956,0.1,1,2
2.0603015075376887,1563.7501724139831,0.1,1,2
2.1105527638190957,1706.2882409636536,0.1,1,2
2.1608040201005028,1848.1120829049837,0.1,1,2
2.21105527638191,1989.2251070737693,0.1,1,2
2.261306532663317,2129.6308202679425,0.1,1,2
2.311557788944724,2269.3325390152622,0.1,1,2
2.361809045226131,2408.3335325419075,0.1,1,2
2.412060301507538,2546.6375172402904,0.1,1,2
2.462311557788945,2684.2481066586743,0.1,1,2
2.512562814070352,2783.50543083805,0.1,1,2
2.562814070351759,2769.554309020106,0.1,1,2
2.613065326633166,2755.671942420288,0.1,1,2
2.663316582914573,2741.8589422955124,0.1,1,2
2.71356783919598,2728.114962347515,0.1,1,2
2.763819095477387,2714.439412416041,0.1,1,2
2.814070351758794,2700.8326711708596,0.1,1,2
2.864321608040201,2687.2939805337724,0.1,1,2
2.9145728643216082,2673.8228206250633,0.1,1,2
2.9648241206030153,2660.419641333404,0.1,1,2
3.0150753768844223,2647.0832952705396,0.1,1,2
3.0653266331658293,2633.813680912151,0.1,1,2
3.1155778894472363,2620.611134717304,0.1,1,2
3.1658291457286434,2607.4741402682807,0.1,1,2
3.2160804020100504,2594.4031274369568,0.1,1,2
3.2663316582914574,2581.398191101152,0.1,1,2
3.3165829145728645,2568.4576285682997,0.1,1,2
3.3668341708542715,2555.5822731089775,0.1,1,2
3.4170854271356785,2542.771900963451,0.1,1,2
3.4673366834170856,2530.025317286918,0.1,1,2
3.5175879396984926,2517.3428182236735,0.1,1,2
3.5678391959798996,2504.724197593046,0.1,1,2
3.6180904522613067,2492.168939314881,0.1,1,2
3.6683417085427137,2479.6765640048616,0.1,1,2
3.7185929648241207,2467.246926904981,0.1,1,2
3.7688442211055277,2454.8797217474325,0.1,1,2
3.819095477386935,2442.574522247172,0.1,1,2
3.869346733668342,2430.3310375440187,0.1,1,2
3.919597989949749,2418.1489484232966,0.1,1,2
3.969849246231156,2406.0279375740265,0.1,1,2
4.020100502512563,2393.9677172890124,0.1,1,2
4.07035175879397,2381.9679493553313,0.1,1,2
4.120603015075377,2370.0283143074735,0.1,1,2
4.170854271356784,2358.148570509919,0.1,1,2
4.2211055276381915,2346.328430350143,0.1,1,2
4.2713567839195985,2334.567545065223,0.1,1,2
4.3216080402010055,2322.8656028664423,0.1,1,2
4.371859296482413,2311.222291965084,0.1,1,2
4.42211055276382,2299.6373005724327,0.1,1,2
4.472361809045227,2288.1104137911166,0.1,1,2
4.522613065326634,2276.6413720213186,0.1,1,2
4.572864321608041,2265.229812037558,0.1,1,2
4.623115577889448,2253.8754348877205,0.1,1,2
4.673366834170855,2242.577941619693,0.1,1,2
4.723618090452262,2231.337033281361,0.1,1,2
4.773869346733669,2220.152508778116,0.1,1,2
4.824120603015076,2209.0241515396565,0.1,1,2
4.874371859296483,2197.9515911169824,0.1,1,2
4.92462311557789,2186.9345414688814,0.1,1,2
4.974874371859297,2175.97271623066,0.1,1,2
5.025125628140704,2165.065828714139,0.1,1,2
5.075376884422111,2154.2135919076586,0.1,1,2
5.125628140703518,2143.4157184760743,0.1,1,2
5.175879396984925,2132.6719207607575,0.1,1,2
5.226130653266332,2121.981910779598,0.1,1,2
5.276381909547739,2111.3456327586796,0.1,1,2
5.326633165829146,2100.7627062352335,0.1,1,2
5.376884422110553,2090.232823394864,0.1,1,2
5.42713567839196,2079.75571287757,0.1,1,2
5.477386934673367,2069.331103988297,0.1,1,2
5.527638190954774,2058.958726696939,0.1,1,2
5.577889447236181,2048.6383116383377,0.1,1,2
5.628140703517588,2038.3695901122833,0.1,1,2
5.678391959798995,2028.1522940835132,0.1,1,2
5.728643216080402,2017.9861872894428,0.1,1,2
5.778894472361809,2007.8711233890801,0.1,1,2
5.8291457286432165,1997.8067503429036,0.1,1,2
5.8793969849246235,1987.7928130113596,0.1,1,2
5.9296482412060305,1977.8290575532837,0.1,1,2
5.9798994974874375,1967.9152314258997,0.1,1,2
6.030150753768845,1958.051083384821,0.1,1,2
6.080402010050252,1948.2363634840483,0.1,1,2
6.130653266331659,1938.4708230759727,0.1,1,2
6.180904522613066,1928.7542148113728,0.1,1,2
6.231155778894473,1919.0863080504432,0.1,1,2
6.28140703517588,1909.4668619085267,0.1,1,2
6.331658291457287,1899.8956253271476,0.1,1,2
6.381909547738694,1890.3723579176815,0.1,1,2
6.432160804020101,1880.8968206968107,0.1,1,2
6.482412060301508,1871.4687760865222,0.1,1,2
6.532663316582915,1862.0879879141094,0.1,1,2
6.582914572864322,1852.7542214121715,0.1,1,2
6.633165829145729,1843.4672432186135,0.1,1,2
6.683417085427136,1834.2268213766456,0.1,1,2
6.733668341708543,1825.0326915568257,0.1,1,2
6.78391959798995,1815.884643512305,0.1,1,2
6.834170854271357,1806.7824489358013,0.1,1,2
6.884422110552764,1797.7258792257305,0.1,1,2
6.934673366834171,1788.714707051693,0.1,1,2
6.984924623115578,1779.748706354473,0.1,1,2
7.035175879396985,1770.8276523460377,0.1,1,2
7.085427135678392,1761.9513215095399,0.1,1,2
7.135678391959799,1753.1194915993153,0.1,1,2
7.185929648241206,1744.3319319642255,0.1,1,2
7.236180904522613,1735.5884036293573,0.1,1,2
7.28643216080402,1726.888703513986,0.1,1,2
7.336683417085427,1718.2326123510852,0.1,1,2
7.386934673366834,1709.6199120153117,0.1,1,2
7.437185929648241,1701.0503855230063,0.1,1,2
7.4874371859296485,1692.5238170321927,0.1,1,2
7.5376884422110555,1684.039991842578,0.1,1,2
7.5879396984924625,1675.598696395553,0.1,1,2
7.63819095477387,1667.1997182741911,0.1,1,2
7.688442211055277,1658.8428355201554,0.1,1,2
7.738693467336684,1650.5278387058293,0.1,1,2
7.788944723618091,1642.2545219807223,0.1,1,2
7.839195979899498,1634.022676469171,0.1,1,2
7.889447236180905,1625.8320943755348,0.1,1,2
7.939698492462312,1617.6825689841976,0.1,1,2
7.989949748743719,1609.5738946595668,0.1,1,2
8.040201005025127,1601.505866846074,0.1,1,2
8.090452261306535,1593.4782820681753,0.1,1,2
8.140703517587943,1585.4909375851184,0.1,1,2
8.19095477386935,1577.5436246110673,0.1,1,2
8.241206030150758,1569.6361477122923,0.1,1,2
8.291457286432166,1561.7683072553057,0.1,1,2
8.341708542713574,1553.9399046567642,0.1,1,2
8.391959798994982,1546.15074238347,0.1,1,2
8.44221105527639,1538.40062395237,0.1,1,2
8.492462311557798,1530.6893539305565,0.1,1,2
8.542713567839206,1523.0167379352665,0.1,1,2
8.592964824120614,1515.3825826338818,0.1,1,2
8.643216080402022,1507.7866881514315,0.1,1,2
8.69346733668343,1500.2288562942565,0.1,1,2
8.743718592964838,1492.7089052840092,0.1,1,2
8.793969849246245,1485.2266454112132,0.1,1,2
8.844221105527653,1477.7818880134205,0.1,1,2
8.894472361809061,1470.3744454752111,0.1,1,2
8.94472361809047,1463.004131228193,0.1,1,2
8.994974874371877,1455.6707597510026,0.1,1,2
9.045226130653285,1448.3741465693033,0.1,1,2
9.095477386934693,1441.1141082557876,0.1,1,2
9.145728643216101,1433.8904624301754,0.1,1,2
9.195979899497509,1426.7030277592148,0.1,1,2
9.246231155778917,1419.5516239566819,0.1,1,2
9.296482412060325,1412.4360717833806,0.1,1,2
9.346733668341733,1405.3561930471435,0.1,1,2
9.39698492462314,1398.3118106028303,0.1,1,2
9.447236180904548,1391.3026877824286,0.1,1,2
9.497487437185956,1384.3286916122142,0.1,1,2
9.547738693467364,1377.3896497295234,0.1,1,2
9.597989949748772,1370.4853875606548,0.1,1,2
9.64824120603018,1363.6157315209325,0.1,1,2
9.698492462311588,1356.7805090147085,0.1,1,2
9.748743718592996,1349.9795484353597,0.1,1,2
9.798994974874404,1343.2126791652906,0.1,1,2
9.849246231155812,1336.4797315759313,0.1,1,2
9.89949748743722,1329.7805370277388,0.1,1,2
9.949748743718628,1323.1149278701962,0.1,1,2
10.000000000000036,1316.4827374418135,0.1,1,2
