Time,A,B,C
0,0,0,0
0.10101010101010101,0.5050505050505047,0,0
0.20202020202020202,1.01010101010101,0,0
0.30303030303030304,1.5151515151515154,0,0
0.40404040404040403,2.02020202020202,0,0
0.5050505050505051,2.525252525252525,0,0
0.6060606060606061,3.0303030303030303,0,0
0.7070707070707071,3.5353535353535293,0,0
0.8080808080808081,4.0404040404040344,0,0
0.9090909090909091,4.545454545454543,0,0
1.0101010101010102,5.050505050505048,0,0
1.1111111111111112,5.55555555555555,0,0
1.2121212121212122,6.060606060606055,0,0
1.3131313131313131,6.565656565656564,0,0
1.4141414141414141,7.070707070707069,0,0
1.5151515151515151,7.575757575757574,0,0
1.6161616161616161,8.080808080808076,0,0
1.7171717171717171,8.585858585858581,0,0
1.8181818181818181,9.090909090909086,0,0
1.9191919191919191,9.595959595959588,0,0
2.0202020202020203,10.1010101010101,0,0
2.1212121212121215,10.606060606060602,0,0
2.2222222222222228,11.11111111111111,0,0
2.323232323232324,11.616161616161612,0,0
2.424242424242425,12.121212121212121,0,0
2.5252525252525264,12.626262626262626,0,0
2.6262626262626276,13.131313131313135,0,0
2.727272727272729,13.63636363636364,0,0
2.82828282828283,14.141414141414149,0,0
2.9292929292929313,14.64646464646465,0,0
3.0303030303030325,15.15151515151516,0,0
3.1313131313131337,15.656565656565665,0,0
3.232323232323235,16.161616161616173,0,0
3.333333333333336,16.666666666666675,0,0
3.4343434343434374,17.171717171717184,0,0
3.5353535353535386,17.67676767676769,0,0
3.63636363636364,18.181818181818194,0,0
3.737373737373741,18.6868686868687,0,0
3.8383838383838422,19.191919191919204,0,0
3.9393939393939434,19.696969696969713,0,0
4.040404040404044,20.20202020202022,5,100
4.141414141414145,20.707070707070727,5,100
4.242424242424247,21.212121212121236,5,100
4.343434343434348,21.71717171717174,5,100
4.444444444444449,22.222222222222246,5,100
4.54545454545455,22.727272727272748,5,100
4.6464646464646515,23.232323232323257,5,100
4.747474747474753,23.737373737373762,5,100
4.848484848484854,24.242424242424267,5,100
4.949494949494955,24.747474747474772,5,100
5.050505050505056,25.252525252525277,5,100
5.151515151515158,25.757575757575786,5,100
5.252525252525259,26.26262626262629,5,100
5.35353535353536,26.767676767676797,5,100
5.454545454545461,27.272727272727302,5,100
5.5555555555555625,27.77777777777781,5,100
5.656565656565664,28.282828282828316,5,100
5.757575757575765,28.78787878787882,5,100
5.858585858585866,29.292929292929326,5,100
5.959595959595967,29.797979797979835,5,100
6.0606060606060685,30.30303030303034,5,100
6.16161616161617,30.808080808080845,5,100
6.262626262626271,31.31313131313135,5,100
6.363636363636372,31.818181818181856,5,100
6.464646464646473,32.32323232323236,5,100
6.565656565656575,32.828282828282866,5,100
6.666666666666676,33.33333333333338,5,100
6.767676767676777,33.83838383838388,5,100
6.868686868686878,34.34343434343439,5,100
6.9696969696969795,34.848484848484894,5,100
7.070707070707081,35.3535353535354,5,100
7.171717171717182,35.858585858585904,5,100
7.272727272727283,36.36363636363642,5,100
7.373737373737384,36.86868686868692,5,100
7.474747474747486,37.37373737373743,5,100
7.575757575757587,37.87878787878793,5,100
7.676767676767688,38.38383838383844,5,100
7.777777777777789,38.88888888888894,5,100
7.87878787878789,39.39393939393945,5,100
7.979797979797992,39.89898989898995,5,100
8.080808080808092,40.40404040404046,5,100
8.181818181818192,40.909090909090956,5,100
8.282828282828293,41.41414141414146,5,100
8.383838383838393,41.91919191919196,5,100
8.484848484848493,42.424242424242465,5,100
8.585858585858594,42.92929292929296,5,100
8.686868686868694,43.43434343434347,5,100
8.787878787878794,43.939393939393966,5,100
8.888888888888895,44.44444444444443,5,100
8.989898989898995,44.94949494949495,5,100
9.090909090909095,45.45454545454544,5,100
9.191919191919196,45.95959595959596,5,100
9.292929292929296,46.46464646464645,5,100
9.393939393939396,46.96969696969697,5,100
9.494949494949497,47.47474747474746,5,100
9.595959595959597,47.97979797979795,5,100
9.696969696969697,48.48484848484844,5,100
9.797979797979798,48.98989898989896,5,100
9.898989898989898,49.49494949494945,5,100
9.999999999999998,49.99999999999997,5,100
