Time,S1,P,Xo,k1,k2,k3,v1,_J0,_J1,_J2,_J3
0,0,0,20,0.1,0.3,0.23,0.3,2,0,0,0.3
0.20040080160320642,0.39107977465682003,-0.051030723953990484,20,0.1,0.3,0.23,0.3,2.107549791636281,0.117323932397046,0.08994834817106862,0.3
0.40080160320641284,0.7603649147017179,-0.08452344344771019,20,0.1,0.3,0.23,0.3,2.1846545230301206,0.22810947441051535,0.1748839303813951,0.3
0.6012024048096193,1.1037027387852916,-0.10157616712357659,20,0.1,0.3,0.23,0.3,2.226120820500425,0.33111082163558747,0.25385162992061705,0.3
0.8016032064128257,1.4167550672844114,-0.10348553079105437,20,0.1,0.3,0.23,0.3,2.2308619310569893,0.4250265201853234,0.3258536654754146,0.3
1.0020040080160322,1.6958341195467699,-0.09173655255461279,20,0.1,0.3,0.23,0.3,2.2020042814948333,0.5087502358640309,0.3900418474957571,0.3
1.2024048096192386,1.9385449413632143,-0.06795614391118995,20,0.1,0.3,0.23,0.3,2.1458217732293376,0.5815634824089643,0.4458653365135393,0.3
1.402805611222445,2.144097178999489,-0.033845152815920425,20,0.1,0.3,0.23,0.3,2.0700615494805295,0.6432291536998467,0.4931423511698825,0.3
1.6032064128256514,2.3132640545128282,0.00889595330048134,20,0.1,0.3,0.23,0.3,1.9823649737688425,0.6939792163538484,0.5320507325379505,0.3
1.8036072144288577,2.4480942459053567,0.05863313981729794,20,0.1,0.3,0.23,0.3,1.8892285956069408,0.734428273771607,0.563061676558232,0.3
2.0040080160320644,2.551515499324138,0.11384864814841626,20,0.1,0.3,0.23,0.3,1.795576089556386,0.7654546497972413,0.5868485648445517,0.3
2.204408817635271,2.6269440371391335,0.1731722701754915,20,0.1,0.3,0.23,0.3,1.7047794691744853,0.7880832111417401,0.6041971285420007,0.3
2.4048096192384776,2.6779625211796176,0.23539618080040073,20,0.1,0.3,0.23,0.3,1.618913860251875,0.8033887563538853,0.6159313798713121,0.3
2.605210420841684,2.7080868540934215,0.29947700640868785,20,0.1,0.3,0.23,0.3,1.5390807148849208,0.8124260562280264,0.6228599764414869,0.3
2.805611222444891,2.720619439352509,0.36452877990855365,20,0.1,0.3,0.23,0.3,1.4657074511349137,0.8161858318057528,0.6257424710510772,0.3
3.0060120240480974,2.718565804709009,0.42981114085048355,20,0.1,0.3,0.23,0.3,1.3987861353565585,0.8155697414127027,0.6252701350830722,0.3
3.206412825651304,2.7045995948835944,0.4947147060217238,20,0.1,0.3,0.23,0.3,1.3380479846372317,0.8113798784650783,0.6220579068232267,0.3
3.4068136272545106,2.6810592148656593,0.558745558030771,20,0.1,0.3,0.23,0.3,1.2830830469385166,0.8043177644596978,0.6166436194191017,0.3
3.6072144288577173,2.6499612813361297,0.6215100800546411,20,0.1,0.3,0.23,0.3,1.2334181727273656,0.7949883844008389,0.6094910947073099,0.3
3.807615230460924,2.613027013765167,0.6827006810055003,20,0.1,0.3,0.23,0.3,1.188565514102542,0.78390810412955,0.6009962131659884,0.3
4.0080160320641305,2.5717132391523956,0.7420828502285368,20,0.1,0.3,0.23,0.3,1.1480510239439117,0.7715139717457187,0.591494045005051,0.3
4.208416833667337,2.527243103134936,0.7994837390959151,20,0.1,0.3,0.23,0.3,1.111429882108758,0.7581729309404808,0.5812659137210353,0.3
4.408817635270543,2.4806348442310595,0.8547820636350301,20,0.1,0.3,0.23,0.3,1.0782938002324487,0.7441904532693179,0.5705460141731438,0.3
4.609218436873749,2.4327299847024837,0.9078993144807795,20,0.1,0.3,0.23,0.3,1.0482733469319816,0.7298189954107451,0.5595278964815713,0.3
4.809619238476955,2.384218940858377,0.9587921589985097,20,0.1,0.3,0.23,0.3,1.0210373728586697,0.7152656822575131,0.5483703563974268,0.3
5.010020040080161,2.3356632149575858,1.0074460471743483,20,0.1,0.3,0.23,0.3,0.9962907859043937,0.7006989644872758,0.5372025394402448,0.3
5.2104208416833675,2.287514772448043,1.0538697220287359,20,0.1,0.3,0.23,0.3,0.9737715973652284,0.6862544317344129,0.52612839766305,0.3
