Time,A,B,C,comp,k1,k2,_J0,_J1
0,10,0,0,100,0.35,0.2,3.5,0
0.10050251256281408,9.99648303065897,0.0035166158797844964,3.534612490768746e-7,100,0.35,0.2,3.4987690607306394,0.0007033231759568993
0.20100502512562815,9.99296729822639,0.007031288187989569,0.0000014135856240790515,100,0.35,0.2,3.4975385543792363,0.0014062576375979139
0.30150753768844224,9.989452802265921,0.010544017752735273,0.0000031799813453048764,100,0.35,0.2,3.4963084807930724,0.002108803550547055
0.4020100502512563,9.985939542341972,0.014054805400689912,0.000005652257338483751,100,0.35,0.2,3.49507883981969,0.0028109610801379825
0.5025125628140704,9.982427518019865,0.017563651956756503,0.000008830023379756891,100,0.35,0.2,3.4938496313069525,0.0035127303913513007
0.6030150753768845,9.97891672886518,0.021070558245312995,0.000012712889508997666,100,0.35,0.2,3.4926208551028126,0.004214111649062599
0.7035175879396985,9.975407174443463,0.024575525090781033,0.000017300465759961693,100,0.35,0.2,3.4913925110552118,0.004915105018156207
0.8040201005025126,9.971898854321692,0.028078553314835667,0.000022592363482337863,100,0.35,0.2,3.490164599012592,0.005615710662967134
0.9045226130653267,9.968391768059302,0.03157964375343516,0.00002858818727267613,100,0.35,0.2,3.4889371188207554,0.006315928750687032
1.0050251256281408,9.964885915225452,0.03507879722405674,0.00003528755049841795,100,0.35,0.2,3.487710070328908,0.007015759444811348
1.105527638190955,9.961381295392517,0.03857601453803558,0.00004269006945226656,100,0.35,0.2,3.4864834533873807,0.007715202907607116
1.206030150753769,9.95787790810779,0.042071296554333386,0.00005079533788719987,100,0.35,0.2,3.485257267837726,0.008414259310866678
1.306532663316583,9.95437575295272,0.04556464406700173,0.00005960298031832958,100,0.35,0.2,3.4840315135334516,0.009112928813400346
1.407035175879397,9.95087482950585,0.04905605787560278,0.00006911261866812271,100,0.35,0.2,3.482806190327047,0.009811211575120556
1.5075376884422111,9.947375137309349,0.052545538848694194,0.000079323842164809,100,0.35,0.2,3.481581298058272,0.010509107769738839
1.6080402010050252,9.943876675948154,0.056033087773623674,0.00009023627854452692,100,0.35,0.2,3.4803568365818536,0.011206617554724735
1.7085427135678393,9.940379444997621,0.05951870545590026,0.00010184954694558772,100,0.35,0.2,3.4791328057491673,0.011903741091180052
1.8090452261306533,9.936883444009768,0.06300239274530338,0.00011416324554477937,100,0.35,0.2,3.4779092054034186,0.012600478549060677
